"Year","Region","electricity production, hydro","electricity production, coal","electricity production, oil","electricity production, nuclear","electricity production, natural gas"
2007,"UN-OCEANIA",0.227445739024319,0.772496150158352,5.81108173286457e-05,0,0
2008,"CA-QC",1,0,0,0,0
2008,"CN",0.100000534247966,0.899999465752034,0,0,0
2008,"IAI Area 1",0.21977156360772,0.78022843639228,0,0,0
2008,"IAI Area 2, without Quebec",0.360540198620826,0.619774243777013,0.000179659586981907,0.0118575327408059,0.00764836527437262
2008,"IAI Area 3",0.896809331019857,0,0,0,0.103190668980143
2008,"IAI Area 4&5 without China",0.085554394602157,0.449891086829476,0.00134591885526059,0,0.463208599713107
2008,"IAI Area 8",0,0,0,0,0
2008,"RoW",0,0,0,0,0
2008,"UN-EUROPE",0.659197223479704,0.168614620629107,0.00503450073391223,0.101019246333868,0.0661344088234084
2008,"UN-OCEANIA",0.218092649491846,0.781848262822028,5.90876861262113e-05,0,0
2009,"CA-QC",1,0,0,0,0
2009,"CN",0.0999983670181207,0.900001632981879,0,0,0
2009,"IAI Area 1",0.201356096379707,0.798643903620293,0,0,0
2009,"IAI Area 2, without Quebec",0.22818109911954,0.741372484618016,0.000314807849094699,0.0165948709022777,0.013536737511072
2009,"IAI Area 3",0.813698349225879,0,0,0,0.186301650774121
2009,"IAI Area 4&5 without China",0.0108707428942902,0.415706598288129,0.000198634836938857,0,0.573224023980642
2009,"IAI Area 8",0,0,0,0,0
2009,"RoW",0,0,0,0,0
2009,"UN-EUROPE",0.757756063084016,0.1057372266373,0.00306544268115287,0.0891608247931032,0.044280442804428
2009,"UN-OCEANIA",0.355908410282006,0.643842026453706,0.000249563264287497,0,0
2010,"CA-QC",1,0,0,0,0
2010,"CN",0.0999986748121546,0.900001325187845,0,0,0
2010,"IAI Area 1",0.43667063020214,0.56332936979786,0,0,0
2010,"IAI Area 2, without Quebec",0.322158462098193,0.651801861185899,0.000283480150873022,0.0129590926113382,0.0127971039536964
2010,"IAI Area 3",0.839043067710732,0,0,0,0.160956932289268
2010,"IAI Area 4&5 without China",0.168214834474089,0.285340131303255,0.00481910881408018,0,0.541625925408577
2010,"IAI Area 8",0,0,0,0,0
2010,"RoW",0,0,0,0,0
2010,"UN-EUROPE",0.765569783640413,0.109053416970336,0.0018731750316787,0.0840331504757707,0.0394704738818011
2010,"UN-OCEANIA",0.225106916065489,0.77463389347272,0.000259190461791006,0,0
2011,"CA-QC",1,0,0,0,0
2011,"CN",0.0999992041131433,0.900000795886857,0,0,0
2011,"IAI Area 1",0.462901179455853,0.537098820544147,0,0,0
