2005,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,753,567","5,382,000","2,391,000","3,139,000","8,546,000","2,254,183",ND,"7,806,000","633,000","31,904,750"
Reporting Production (tonnes),"1,753,567","5,133,841","2,283,934","2,666,762","8,122,638","2,254,183",0,"7,806,000",ND,"30,020,925"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"5,808","55,429","33,195","3,868","88,228","7,659",ND,"11,376",ND,"205,563"
Coal,"17,992","23,702",0,"14,182","13,840","25,618",ND,"102,388",ND,"197,722"
Oil,0,4,0,599,"1,722",2,ND,0,ND,"2,327"
Natural Gas,76,233,"1,412","21,572","6,704",0,ND,0,ND,"29,997"
Nuclear,951,473,0,0,"15,697",0,ND,0,ND,"17,121"
Total,"24,827","79,841","34,607","40,221","126,191","33,279",ND,"113,765","28,000","452,731"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"28,711","6,253","40,157","10,859","1,086",ND,ND,ND,"87,066"
Purchased from Supplier(s),"24,827","51,130","28,354",64,"115,332","32,193",ND,ND,ND,"251,900"
Total,"24,827","79,841","34,607","40,221","126,191","33,279",ND,ND,"142,000","338,966"

2004,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,714,975","5,110,000","2,361,896","2,735,000","8,434,000","2,246,000",ND,"6,689,000","566,000","29,856,871"
Reporting Production (tonnes),"1,714,975","4,717,730","2,361,896","2,376,875","5,649,914","2,245,337",0,"6,689,000",ND,"25,755,727"
POWER MIX,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Hydro,"5,239","49,074","35,152","4,913","47,734","7,513",ND,"9,896",ND,"159,521"
Coal,"18,898","23,836",0,"12,902","16,937","25,645",ND,"89,061",ND,"187,279"
Oil,0,5,0,96,"1,858",2,ND,0,ND,"1,961"
Natural Gas,76,307,"1,579","18,758","6,626",0,ND,0,ND,"27,346"
Nuclear,375,434,0,0,"13,147",0,ND,0,ND,"13,956"
Total,"24,588","73,656","36,731","36,669","86,302","33,160",ND,"98,957","62,000","390,063"
POWER SOURCE,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh,GWh
Self-Generated,0,"29,318","6,345","34,822","10,516","1,224",ND,ND,ND,"82,225"
Purchased from Supplier(s),"24,588","44,338","30,386","1,847","75,786","31,936",ND,ND,ND,"208,881"
Total,"24,588","73,656","36,731","36,669","86,302","33,160",ND,ND,"161,000","291,106"

2003,Africa,North America,South America,Asia (ex China),Europe,Oceania,GCC,China,Estimated Unreported,World Reported
Aluminium Production (tonnes),"1,441,945","5,495,000","2,275,000","2,475,000","8,064,000","2,198,000",ND,"5,547,000","490,000","27,985,945"
