Oil,"11,414",653,"39,067","26,985","27,658",ND,ND,"105,777"
Gas,0,"39,292","10,503","55,000","11,405",ND,ND,"116,200"
Electricity,"1,529","4,268","3,430","1,282","8,955",ND,ND,"19,464"
Other,0,451,0,28,522,ND,ND,"1,001"
Total,"19,797","44,664","54,382","122,070","50,944",ND,"86,000","291,857"

1985,Africa & Asia (ex China),North America,South America,Oceania,Europe,China,Estimated Unreported,World Reported
Alumina Production (tonnes),ND,ND,ND,ND,ND,ND,-,"30,529,000"
Reporting Production (tonnes),"1,254,968","4,133,012","2,880,799","9,289,367","3,972,666",0,"8,998,188","21,530,812"
FUEL MIX,TJ,TJ,TJ,TJ,TJ,TJ,TJ,TJ
Coal,"7,339",0,"1,205","34,435","2,775",ND,ND,"45,754"
Oil,"11,097","1,533","30,895","31,296","25,082",ND,ND,"99,903"
Gas,0,"43,329",1,"51,922","11,502",ND,ND,"106,754"
Electricity,"1,943","4,933","3,772","5,409","8,830",ND,ND,"24,887"
Other,0,0,0,"1,578",544,ND,ND,"2,122"
Total,"20,379","49,795","35,873","124,640","48,733",ND,"117,000","279,420"

