"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"FCV","Light truck",2027,"sales","HOP",2018,"vehicle",1654
"FFV","Light truck",2027,"sales","HOP",2018,"vehicle",858267
"HEV","Light truck",2027,"sales","HOP",2018,"vehicle",99525
"ICEV-D","Light truck",2027,"sales","HOP",2018,"vehicle",125310
"ICEV-G","Light truck",2027,"sales","HOP",2018,"vehicle",5535483
"PHEV20","Light truck",2027,"sales","HOP",2018,"vehicle",28977
"PHEV40","Light truck",2027,"sales","HOP",2018,"vehicle",7008
"BEV100","Car",2028,"sales","HOP",2018,"vehicle",28996
"BEV300","Car",2028,"sales","HOP",2018,"vehicle",24064
"CNG","Car",2028,"sales","HOP",2018,"vehicle",35484
"FCV","Car",2028,"sales","HOP",2018,"vehicle",1695
"FFV","Car",2028,"sales","HOP",2018,"vehicle",350826
"HEV","Car",2028,"sales","HOP",2018,"vehicle",396140
"ICEV-D","Car",2028,"sales","HOP",2018,"vehicle",10254
"ICEV-G","Car",2028,"sales","HOP",2018,"vehicle",7237640
"PHEV20","Car",2028,"sales","HOP",2018,"vehicle",18758
"PHEV40","Car",2028,"sales","HOP",2018,"vehicle",43624
"BEV100","Light truck",2028,"sales","HOP",2018,"vehicle",5480
"BEV300","Light truck",2028,"sales","HOP",2018,"vehicle",4887
"CNG","Light truck",2028,"sales","HOP",2018,"vehicle",60698
"FCV","Light truck",2028,"sales","HOP",2018,"vehicle",1695
"FFV","Light truck",2028,"sales","HOP",2018,"vehicle",879477
"HEV","Light truck",2028,"sales","HOP",2018,"vehicle",101984
"ICEV-D","Light truck",2028,"sales","HOP",2018,"vehicle",128407
"ICEV-G","Light truck",2028,"sales","HOP",2018,"vehicle",5672279
"PHEV20","Light truck",2028,"sales","HOP",2018,"vehicle",29693
"PHEV40","Light truck",2028,"sales","HOP",2018,"vehicle",7181
"BEV100","Car",2029,"sales","HOP",2018,"vehicle",29504
"BEV300","Car",2029,"sales","HOP",2018,"vehicle",24486
"CNG","Car",2029,"sales","HOP",2018,"vehicle",36105
"FCV","Car",2029,"sales","HOP",2018,"vehicle",1724
"FFV","Car",2029,"sales","HOP",2018,"vehicle",356969
"HEV","Car",2029,"sales","HOP",2018,"vehicle",403077
"ICEV-D","Car",2029,"sales","HOP",2018,"vehicle",10434
"ICEV-G","Car",2029,"sales","HOP",2018,"vehicle",7364375
"PHEV20","Car",2029,"sales","HOP",2018,"vehicle",19087
"PHEV40","Car",2029,"sales","HOP",2018,"vehicle",44388
"BEV100","Light truck",2029,"sales","HOP",2018,"vehicle",5576
"BEV300","Light truck",2029,"sales","HOP",2018,"vehicle",4973
"CNG","Light truck",2029,"sales","HOP",2018,"vehicle",61761
"FCV","Light truck",2029,"sales","HOP",2018,"vehicle",1724
"FFV","Light truck",2029,"sales","HOP",2018,"vehicle",894877
"HEV","Light truck",2029,"sales","HOP",2018,"vehicle",103770
"ICEV-D","Light truck",2029,"sales","HOP",2018,"vehicle",130655
"ICEV-G","Light truck",2029,"sales","HOP",2018,"vehicle",5771603
"PHEV20","Light truck",2029,"sales","HOP",2018,"vehicle",30213
"PHEV40","Light truck",2029,"sales","HOP",2018,"vehicle",7306
"BEV100","Car",2030,"sales","HOP",2018,"vehicle",29509
"BEV300","Car",2030,"sales","HOP",2018,"vehicle",24490
"CNG","Car",2030,"sales","HOP",2018,"vehicle",36112
"FCV","Car",2030,"sales","HOP",2018,"vehicle",1725
"FFV","Car",2030,"sales","HOP",2018,"vehicle",357033
"HEV","Car",2030,"sales","HOP",2018,"vehicle",403149
"ICEV-D","Car",2030,"sales","HOP",2018,"vehicle",10435
"ICEV-G","Car",2030,"sales","HOP",2018,"vehicle",7365685
"PHEV20","Car",2030,"sales","HOP",2018,"vehicle",19090
"PHEV40","Car",2030,"sales","HOP",2018,"vehicle",44396
"BEV100","Light truck",2030,"sales","HOP",2018,"vehicle",5577
"BEV300","Light truck",2030,"sales","HOP",2018,"vehicle",4974
"CNG","Light truck",2030,"sales","HOP",2018,"vehicle",61772
"FCV","Light truck",2030,"sales","HOP",2018,"vehicle",1725
"FFV","Light truck",2030,"sales","HOP",2018,"vehicle",895036
"HEV","Light truck",2030,"sales","HOP",2018,"vehicle",103789
"ICEV-D","Light truck",2030,"sales","HOP",2018,"vehicle",130678
"ICEV-G","Light truck",2030,"sales","HOP",2018,"vehicle",5772630
"PHEV20","Light truck",2030,"sales","HOP",2018,"vehicle",30218
"PHEV40","Light truck",2030,"sales","HOP",2018,"vehicle",7308
"BEV100","Car",2031,"sales","HOP",2018,"vehicle",29643
"BEV300","Car",2031,"sales","HOP",2018,"vehicle",24601
"CNG","Car",2031,"sales","HOP",2018,"vehicle",36276
"FCV","Car",2031,"sales","HOP",2018,"vehicle",1732
"FFV","Car",2031,"sales","HOP",2018,"vehicle",358651
"HEV","Car",2031,"sales","HOP",2018,"vehicle",404976
"ICEV-D","Car",2031,"sales","HOP",2018,"vehicle",10483
