"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"FFV","Car",2026,"sales","LOP",2018,"vehicle",401752
"HEV","Car",2026,"sales","LOP",2018,"vehicle",453638
"ICEV-D","Car",2026,"sales","LOP",2018,"vehicle",11743
"ICEV-G","Car",2026,"sales","LOP",2018,"vehicle",8288235
"PHEV20","Car",2026,"sales","LOP",2018,"vehicle",21481
"PHEV40","Car",2026,"sales","LOP",2018,"vehicle",49957
"BEV100","Light truck",2026,"sales","LOP",2018,"vehicle",6275
"BEV300","Light truck",2026,"sales","LOP",2018,"vehicle",5597
"CNG","Light truck",2026,"sales","LOP",2018,"vehicle",69510
"FCV","Light truck",2026,"sales","LOP",2018,"vehicle",1941
"FFV","Light truck",2026,"sales","LOP",2018,"vehicle",1007136
"HEV","Light truck",2026,"sales","LOP",2018,"vehicle",116784
"ICEV-D","Light truck",2026,"sales","LOP",2018,"vehicle",147038
"ICEV-G","Light truck",2026,"sales","LOP",2018,"vehicle",6495647
"PHEV20","Light truck",2026,"sales","LOP",2018,"vehicle",34003
"PHEV40","Light truck",2026,"sales","LOP",2018,"vehicle",8223
"BEV100","Car",2027,"sales","LOP",2018,"vehicle",33159
"BEV300","Car",2027,"sales","LOP",2018,"vehicle",27519
"CNG","Car",2027,"sales","LOP",2018,"vehicle",40579
"FCV","Car",2027,"sales","LOP",2018,"vehicle",1938
"FFV","Car",2027,"sales","LOP",2018,"vehicle",401198
"HEV","Car",2027,"sales","LOP",2018,"vehicle",453012
"ICEV-D","Car",2027,"sales","LOP",2018,"vehicle",11726
"ICEV-G","Car",2027,"sales","LOP",2018,"vehicle",8276803
"PHEV20","Car",2027,"sales","LOP",2018,"vehicle",21452
"PHEV40","Car",2027,"sales","LOP",2018,"vehicle",49888
"BEV100","Light truck",2027,"sales","LOP",2018,"vehicle",6267
"BEV300","Light truck",2027,"sales","LOP",2018,"vehicle",5589
"CNG","Light truck",2027,"sales","LOP",2018,"vehicle",69414
