"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV300","Light truck",2026,"sales","LOP",2018,"vehicle",216631
"CNG","Light truck",2026,"sales","LOP",2018,"vehicle",66143
"FCV","Light truck",2026,"sales","LOP",2018,"vehicle",28084
"FFV","Light truck",2026,"sales","LOP",2018,"vehicle",1084003
"HEV","Light truck",2026,"sales","LOP",2018,"vehicle",73594
"ICEV-D","Light truck",2026,"sales","LOP",2018,"vehicle",286978
"ICEV-G","Light truck",2026,"sales","LOP",2018,"vehicle",6888637
"PHEV20","Light truck",2026,"sales","LOP",2018,"vehicle",66044
"PHEV40","Light truck",2026,"sales","LOP",2018,"vehicle",39364
"BEV100","Car",2027,"sales","LOP",2018,"vehicle",267217
"BEV300","Car",2027,"sales","LOP",2018,"vehicle",1879161
"CNG","Car",2027,"sales","LOP",2018,"vehicle",21983
"FCV","Car",2027,"sales","LOP",2018,"vehicle",23678
"FFV","Car",2027,"sales","LOP",2018,"vehicle",282079
"HEV","Car",2027,"sales","LOP",2018,"vehicle",434694
"ICEV-D","Car",2027,"sales","LOP",2018,"vehicle",157583
"ICEV-G","Car",2027,"sales","LOP",2018,"vehicle",5145291
"PHEV20","Car",2027,"sales","LOP",2018,"vehicle",60969
"PHEV40","Car",2027,"sales","LOP",2018,"vehicle",42580
"BEV100","Light truck",2027,"sales","LOP",2018,"vehicle",303606
"BEV300","Light truck",2027,"sales","LOP",2018,"vehicle",301782
"CNG","Light truck",2027,"sales","LOP",2018,"vehicle",64218
"FCV","Light truck",2027,"sales","LOP",2018,"vehicle",27670
"FFV","Light truck",2027,"sales","LOP",2018,"vehicle",1052634
"HEV","Light truck",2027,"sales","LOP",2018,"vehicle",73827
"ICEV-D","Light truck",2027,"sales","LOP",2018,"vehicle",276467
"ICEV-G","Light truck",2027,"sales","LOP",2018,"vehicle",6679156
"PHEV20","Light truck",2027,"sales","LOP",2018,"vehicle",65158
"PHEV40","Light truck",2027,"sales","LOP",2018,"vehicle",38790
"BEV100","Car",2028,"sales","LOP",2018,"vehicle",317253
"BEV300","Car",2028,"sales","LOP",2018,"vehicle",2344367
"CNG","Car",2028,"sales","LOP",2018,"vehicle",20624
"FCV","Car",2028,"sales","LOP",2018,"vehicle",22024
"FFV","Car",2028,"sales","LOP",2018,"vehicle",263664
"HEV","Car",2028,"sales","LOP",2018,"vehicle",415462
"ICEV-D","Car",2028,"sales","LOP",2018,"vehicle",173165
"ICEV-G","Car",2028,"sales","LOP",2018,"vehicle",4777384
"PHEV20","Car",2028,"sales","LOP",2018,"vehicle",58399
"PHEV40","Car",2028,"sales","LOP",2018,"vehicle",42608
"BEV100","Light truck",2028,"sales","LOP",2018,"vehicle",399383
"BEV300","Light truck",2028,"sales","LOP",2018,"vehicle",395645
"CNG","Light truck",2028,"sales","LOP",2018,"vehicle",62500
