"Technology","Size","Year","Data_type","Value","Unit"
"FCV","Light truck",1984,"sales",0,"vehicle"
"FFV","Light truck",1984,"sales",0,"vehicle"
"HEV","Light truck",1984,"sales",0,"vehicle"
"ICEV-D","Light truck",1984,"sales",185424,"vehicle"
"ICEV-G","Light truck",1984,"sales",3677576,"vehicle"
"PHEV20","Light truck",1984,"sales",0,"vehicle"
"PHEV40","Light truck",1984,"sales",0,"vehicle"
"BEV100","Car",1985,"sales",0,"vehicle"
"BEV300","Car",1985,"sales",0,"vehicle"
"CNG","Car",1985,"sales",0,"vehicle"
"FCV","Car",1985,"sales",0,"vehicle"
"FFV","Car",1985,"sales",0,"vehicle"
"HEV","Car",1985,"sales",0,"vehicle"
"ICEV-D","Car",1985,"sales",90552,"vehicle"
"ICEV-G","Car",1985,"sales",10952447,"vehicle"
"PHEV20","Car",1985,"sales",0,"vehicle"
"PHEV40","Car",1985,"sales",0,"vehicle"
"BEV100","Light truck",1985,"sales",0,"vehicle"
"BEV300","Light truck",1985,"sales",0,"vehicle"
"CNG","Light truck",1985,"sales",0,"vehicle"
"FCV","Light truck",1985,"sales",0,"vehicle"
"FFV","Light truck",1985,"sales",0,"vehicle"
"HEV","Light truck",1985,"sales",0,"vehicle"
"ICEV-D","Light truck",1985,"sales",169404,"vehicle"
"ICEV-G","Light truck",1985,"sales",4288596,"vehicle"
"PHEV20","Light truck",1985,"sales",0,"vehicle"
"PHEV40","Light truck",1985,"sales",0,"vehicle"
"BEV100","Car",1986,"sales",0,"vehicle"
"BEV300","Car",1986,"sales",0,"vehicle"
"CNG","Car",1986,"sales",0,"vehicle"
"FCV","Car",1986,"sales",0,"vehicle"
"FFV","Car",1986,"sales",0,"vehicle"
"HEV","Car",1986,"sales",0,"vehicle"
"ICEV-D","Car",1986,"sales",42375,"vehicle"
"ICEV-G","Car",1986,"sales",11410468,"vehicle"
"PHEV20","Car",1986,"sales",0,"vehicle"
"PHEV40","Car",1986,"sales",0,"vehicle"
"BEV100","Light truck",1986,"sales",0,"vehicle"
"BEV300","Light truck",1986,"sales",0,"vehicle"
"CNG","Light truck",1986,"sales",0,"vehicle"
"FCV","Light truck",1986,"sales",0,"vehicle"
"FFV","Light truck",1986,"sales",0,"vehicle"
"HEV","Light truck",1986,"sales",0,"vehicle"
"ICEV-D","Light truck",1986,"sales",169983,"vehicle"
