Size,Technology,Aeo_case,Fc_impro,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Light truck,PHEV20,REF,Med,0,0,-1.416737429,-1.097097345,-1.080587183,-2.132928963,-3.175776053,-2.699767318,-1.196997515,-1.00867754,-4.127670669,-2.698366721,0.022037832,0.071572943,0.046220163,0.051612298,0.068918817,0.20350262,0.220317067,0.143487369,0.162333714,0.162778362,0.14407212,0.171367833,0.163137189,0.166618228,0.163799722,0.171096341,0.174942811,0.173070478,0.176656999,-0.103905324,0.017165733,0.05217279,0.060013011,0.082104868
Light truck,PHEV20,REF,High,0,0,-1.811126743,-1.402505715,-1.381399478,-2.726690639,-4.059843991,-3.451324633,-1.530215949,-1.289471733,-5.276725652,-3.449534141,0.028172691,0.091497315,0.059086865,0.065980055,0.088104337,0.260153385,0.281648613,0.183431175,0.207523939,0.208092366,0.184178709,0.219072962,0.208551084,0.213001169,0.209398052,0.218725893,0.223643138,0.221249587,0.225834518,-0.132830338,0.021944305,0.066696575,0.076719346,0.104961102
Light truck,PHEV40,REF,Med,0,0,-0.423719982,-0.852778459,-2.304551728,-2.850628862,-1.870902788,-1.465107538,-1.566541948,-1.477456806,-2.013361725,-1.523359367,0.041656639,0.104745645,0.06746511,0.070968641,0.032179686,0.098093867,0.068595684,0.062094611,0.078860518,0.07129409,0.026757255,0.085448759,0.058195854,0.067236533,0.104379733,0.135293843,0.190405214,0.235847289,0.136430339,0.145883766,0.119815793,0.127736836,0.135995167,0.135072135
Light truck,PHEV40,REF,High,0,0,-1.949550121,-1.028502252,-2.718049688,-3.487915432,-2.82125946,-2.801711673,-3.59880298,-2.395175072,-3.256010058,-2.887857173,0.02715872,0.12375659,0.086101819,0.113872007,0.061981009,0.126678903,0.083784755,0.078386353,0.103708224,0.093517258,0.035792463,0.112560672,0.075068113,0.090967083,0.066772618,0.089324781,0.09745186,0.089442071,0.088553286,0.10693355,0.054772619,0.069155124,0.127230962,0.191343322
Light truck,FCV,REF,Med,0,0,-0.910970907,-0.558300662,-0.534953042,-0.857936836,-1.711179177,-1.310873345,-0.945083611,-1.737366148,-1.095710079,-0.004697508,-0.003667038,-0.006228236,-0.004986962,-0.00713075,-0.006539523,-0.002624987,-0.002910567,-0.003982884,-0.002847171,-0.002265039,-0.001803173,-0.002274416,-0.001121121,-0.002706286,-0.001316223,-0.001180532,-0.001433981,-0.001548186,-0.000222529,-0.002138346,-0.000603301,-0.00036769,0,0.017649234
Light truck,FCV,REF,High,0,0,-0.934155012,-0.553866195,-0.756242596,-1.591721197,-3.230113983,-3.306082241,-1.950908382,-2.258483982,-2.315078187,0.023640434,0.020884253,0.010464181,0.005165828,0.00232413,0.002070797,0.002023443,0.002240421,0.002453768,0.001119339,0.000523212,0.000534153,0.000543271,0.000514105,0.000597969,0.000570626,4.92E-05,6.20E-05,6.93E-05,1.46E-05,-0.001593356,2.19E-05,0,0,0.025848588
Car,ICEV-G,HOP,Med,0,0,0.346460001,-1.502891168,-2.271921774,-3.167946694,-1.906764073,-2.465117379,-2.828989212,-1.633404852,-2.176928768,-0.137330861,-0.131522646,0.1659672,0.184637725,0.210847984,0.18550561,0.178000464,0.156454006,0.122714966,0.118765087,0.080804333,0.094796245,0.050428771,0.048800822,0.075984724,0.067196746,0.107074346,0.09392661,0.135458146,0.117536637,0.126388991,0.133856447,0.113947537,0.108729258,0.089140996
Car,ICEV-G,HOP,High,0,0,-0.149295236,-2.380145784,-2.799975574,-4.151672623,-2.878286063,-5.47758032,-6.322518424,-3.415449435,-3.316372625,-0.527998727,-0.208472029,0.195837016,0.244287226,0.184298659,0.215794535,0.208481348,0.183288133,0.145444512,0.146506683,0.095342295,0.119790027,0.078948499,0.074467134,0.098124907,0.08830136,0.13811594,0.121564372,0.175763609,0.150967256,0.159730201,0.170053082,0.144280921,0.138135544,0.113006272
Car,BEV100,HOP,Med,0,0,-0.198554481,-0.228026584,-0.4421709,-0.738671694,-0.519658418,-0.729375573,-1.092303635,-0.749342929,-1.41124884,-0.031643188,-0.029774285,-0.009040612,-0.001324824,2.45E-05,0.000240331,0.001328106,0.001148456,0.000830328,0.000279247,0.000363534,0.000254706,0.000243593,0.000321396,0.000187559,0.000119945,-3.52E-05,-2.13E-05,8.47E-05,0.000138007,0.000466357,0,0.00063957,0,0.000148199
Car,BEV100,HOP,High,0,0,-0.611354545,-0.568305479,-0.692685951,-1.440938313,-1.168129837,-2.081683484,-3.45240297,-1.904643086,-0.837159889,-0.113905101,-0.091157458,-0.005682683,0.000486137,-0.001824942,-0.001771985,-0.002212973,-0.00674431,-0.00711718,-0.002280229,-0.004777767,-0.003228514,-0.004029846,-0.0045597,-0.002951863,-0.00360324,-0.001621334,-0.001801558,-0.003169036,-0.003758619,-0.003296152,-0.000329124,-0.002600603,0,-0.0014046
