"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"HEV","Light truck",2026,"sales","REF",2018,"vehicle",63506
"ICEV-D","Light truck",2026,"sales","REF",2018,"vehicle",209875
"ICEV-G","Light truck",2026,"sales","REF",2018,"vehicle",5317253
"PHEV20","Light truck",2026,"sales","REF",2018,"vehicle",69092
"PHEV40","Light truck",2026,"sales","REF",2018,"vehicle",41235
"BEV100","Car",2027,"sales","REF",2018,"vehicle",91780
"BEV300","Car",2027,"sales","REF",2018,"vehicle",751634
"CNG","Car",2027,"sales","REF",2018,"vehicle",30951
"FCV","Car",2027,"sales","REF",2018,"vehicle",28567
"FFV","Car",2027,"sales","REF",2018,"vehicle",422897
"HEV","Car",2027,"sales","REF",2018,"vehicle",635674
"ICEV-D","Car",2027,"sales","REF",2018,"vehicle",213999
"ICEV-G","Car",2027,"sales","REF",2018,"vehicle",6945307
"PHEV20","Car",2027,"sales","REF",2018,"vehicle",75624
"PHEV40","Car",2027,"sales","REF",2018,"vehicle",56573
"BEV100","Light truck",2027,"sales","REF",2018,"vehicle",63519
"BEV300","Light truck",2027,"sales","REF",2018,"vehicle",63487
"CNG","Light truck",2027,"sales","REF",2018,"vehicle",52675
"FCV","Light truck",2027,"sales","REF",2018,"vehicle",28555
"FFV","Light truck",2027,"sales","REF",2018,"vehicle",978220
"HEV","Light truck",2027,"sales","REF",2018,"vehicle",65087
"ICEV-D","Light truck",2027,"sales","REF",2018,"vehicle",202685
"ICEV-G","Light truck",2027,"sales","REF",2018,"vehicle",5258755
"PHEV20","Light truck",2027,"sales","REF",2018,"vehicle",67190
"PHEV40","Light truck",2027,"sales","REF",2018,"vehicle",40052
"BEV100","Car",2028,"sales","REF",2018,"vehicle",93548
"BEV300","Car",2028,"sales","REF",2018,"vehicle",810473
"CNG","Car",2028,"sales","REF",2018,"vehicle",31356
"FCV","Car",2028,"sales","REF",2018,"vehicle",28533
"FFV","Car",2028,"sales","REF",2018,"vehicle",431360
"HEV","Car",2028,"sales","REF",2018,"vehicle",654843
"ICEV-D","Car",2028,"sales","REF",2018,"vehicle",247919
"ICEV-G","Car",2028,"sales","REF",2018,"vehicle",6946755
"PHEV20","Car",2028,"sales","REF",2018,"vehicle",78423
"PHEV40","Car",2028,"sales","REF",2018,"vehicle",62377
"BEV100","Light truck",2028,"sales","REF",2018,"vehicle",63875
"BEV300","Light truck",2028,"sales","REF",2018,"vehicle",63566
"CNG","Light truck",2028,"sales","REF",2018,"vehicle",52664
"FCV","Light truck",2028,"sales","REF",2018,"vehicle",28517
"FFV","Light truck",2028,"sales","REF",2018,"vehicle",994412
"HEV","Light truck",2028,"sales","REF",2018,"vehicle",66916
"ICEV-D","Light truck",2028,"sales","REF",2018,"vehicle",199309
"ICEV-G","Light truck",2028,"sales","REF",2018,"vehicle",5237833
"PHEV20","Light truck",2028,"sales","REF",2018,"vehicle",67204
"PHEV40","Light truck",2028,"sales","REF",2018,"vehicle",40015
"BEV100","Car",2029,"sales","REF",2018,"vehicle",96085
"BEV300","Car",2029,"sales","REF",2018,"vehicle",866436
"CNG","Car",2029,"sales","REF",2018,"vehicle",31578
"FCV","Car",2029,"sales","REF",2018,"vehicle",28819
"FFV","Car",2029,"sales","REF",2018,"vehicle",435993
"HEV","Car",2029,"sales","REF",2018,"vehicle",669442
"ICEV-D","Car",2029,"sales","REF",2018,"vehicle",266180
"ICEV-G","Car",2029,"sales","REF",2018,"vehicle",6916502
"PHEV20","Car",2029,"sales","REF",2018,"vehicle",79814
"PHEV40","Car",2029,"sales","REF",2018,"vehicle",73260
"BEV100","Light truck",2029,"sales","REF",2018,"vehicle",64924
"BEV300","Light truck",2029,"sales","REF",2018,"vehicle",64366
"CNG","Light truck",2029,"sales","REF",2018,"vehicle",52338
"FCV","Light truck",2029,"sales","REF",2018,"vehicle",28799
"FFV","Light truck",2029,"sales","REF",2018,"vehicle",1000919
"HEV","Light truck",2029,"sales","REF",2018,"vehicle",68219
"ICEV-D","Light truck",2029,"sales","REF",2018,"vehicle",193723
"ICEV-G","Light truck",2029,"sales","REF",2018,"vehicle",5189492
"PHEV20","Light truck",2029,"sales","REF",2018,"vehicle",67970
"PHEV40","Light truck",2029,"sales","REF",2018,"vehicle",40429
"BEV100","Car",2030,"sales","REF",2018,"vehicle",98015
"BEV300","Car",2030,"sales","REF",2018,"vehicle",918061
"CNG","Car",2030,"sales","REF",2018,"vehicle",31883
"FCV","Car",2030,"sales","REF",2018,"vehicle",28964
"FFV","Car",2030,"sales","REF",2018,"vehicle",441325
"HEV","Car",2030,"sales","REF",2018,"vehicle",683523
"ICEV-D","Car",2030,"sales","REF",2018,"vehicle",279627
"ICEV-G","Car",2030,"sales","REF",2018,"vehicle",6909975
"PHEV20","Car",2030,"sales","REF",2018,"vehicle",80704
"PHEV40","Car",2030,"sales","REF",2018,"vehicle",83754
"BEV100","Light truck",2030,"sales","REF",2018,"vehicle",65711
"BEV300","Light truck",2030,"sales","REF",2018,"vehicle",64875
"CNG","Light truck",2030,"sales","REF",2018,"vehicle",52376
"FCV","Light truck",2030,"sales","REF",2018,"vehicle",28938
"FFV","Light truck",2030,"sales","REF",2018,"vehicle",1015866
"HEV","Light truck",2030,"sales","REF",2018,"vehicle",69553
"ICEV-D","Light truck",2030,"sales","REF",2018,"vehicle",189851
"ICEV-G","Light truck",2030,"sales","REF",2018,"vehicle",5181997
"PHEV20","Light truck",2030,"sales","REF",2018,"vehicle",68436
