"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"BEV100","Light truck",2030,"sales","HOP",2018,"vehicle",64687
"BEV300","Light truck",2030,"sales","HOP",2018,"vehicle",63065
"CNG","Light truck",2030,"sales","HOP",2018,"vehicle",40706
"FCV","Light truck",2030,"sales","HOP",2018,"vehicle",27814
"FFV","Light truck",2030,"sales","HOP",2018,"vehicle",849588
"HEV","Light truck",2030,"sales","HOP",2018,"vehicle",60648
"ICEV-D","Light truck",2030,"sales","HOP",2018,"vehicle",135233
"ICEV-G","Light truck",2030,"sales","HOP",2018,"vehicle",3732658
"PHEV20","Light truck",2030,"sales","HOP",2018,"vehicle",65893
"PHEV40","Light truck",2030,"sales","HOP",2018,"vehicle",39240
"BEV100","Car",2031,"sales","HOP",2018,"vehicle",121968
"BEV300","Car",2031,"sales","HOP",2018,"vehicle",1360293
"CNG","Car",2031,"sales","HOP",2018,"vehicle",37277
"FCV","Car",2031,"sales","HOP",2018,"vehicle",27587
"FFV","Car",2031,"sales","HOP",2018,"vehicle",468181
"HEV","Car",2031,"sales","HOP",2018,"vehicle",825215
"ICEV-D","Car",2031,"sales","HOP",2018,"vehicle",324486
"ICEV-G","Car",2031,"sales","HOP",2018,"vehicle",6869981
"PHEV20","Car",2031,"sales","HOP",2018,"vehicle",82142
"PHEV40","Car",2031,"sales","HOP",2018,"vehicle",131216
"BEV100","Light truck",2031,"sales","HOP",2018,"vehicle",64933
"BEV300","Light truck",2031,"sales","HOP",2018,"vehicle",62861
"CNG","Light truck",2031,"sales","HOP",2018,"vehicle",41105
"FCV","Light truck",2031,"sales","HOP",2018,"vehicle",27547
"FFV","Light truck",2031,"sales","HOP",2018,"vehicle",803423
"HEV","Light truck",2031,"sales","HOP",2018,"vehicle",62585
"ICEV-D","Light truck",2031,"sales","HOP",2018,"vehicle",133856
"ICEV-G","Light truck",2031,"sales","HOP",2018,"vehicle",3825621
"PHEV20","Light truck",2031,"sales","HOP",2018,"vehicle",65490
"PHEV40","Light truck",2031,"sales","HOP",2018,"vehicle",38938
"BEV100","Car",2032,"sales","HOP",2018,"vehicle",122834
"BEV300","Car",2032,"sales","HOP",2018,"vehicle",1418447
"CNG","Car",2032,"sales","HOP",2018,"vehicle",36775
"FCV","Car",2032,"sales","HOP",2018,"vehicle",27681
"FFV","Car",2032,"sales","HOP",2018,"vehicle",459495
"HEV","Car",2032,"sales","HOP",2018,"vehicle",818294
"ICEV-D","Car",2032,"sales","HOP",2018,"vehicle",311176
"ICEV-G","Car",2032,"sales","HOP",2018,"vehicle",6711922
"PHEV20","Car",2032,"sales","HOP",2018,"vehicle",82371
"PHEV40","Car",2032,"sales","HOP",2018,"vehicle",136225
"BEV100","Light truck",2032,"sales","HOP",2018,"vehicle",65827
"BEV300","Light truck",2032,"sales","HOP",2018,"vehicle",63426
"CNG","Light truck",2032,"sales","HOP",2018,"vehicle",40972
"FCV","Light truck",2032,"sales","HOP",2018,"vehicle",27634
"FFV","Light truck",2032,"sales","HOP",2018,"vehicle",800805
"HEV","Light truck",2032,"sales","HOP",2018,"vehicle",63185
"ICEV-D","Light truck",2032,"sales","HOP",2018,"vehicle",126153
"ICEV-G","Light truck",2032,"sales","HOP",2018,"vehicle",3818423
"PHEV20","Light truck",2032,"sales","HOP",2018,"vehicle",65911
"PHEV40","Light truck",2032,"sales","HOP",2018,"vehicle",39134
"BEV100","Car",2033,"sales","HOP",2018,"vehicle",122781
"BEV300","Car",2033,"sales","HOP",2018,"vehicle",1488982
"CNG","Car",2033,"sales","HOP",2018,"vehicle",36246
"FCV","Car",2033,"sales","HOP",2018,"vehicle",27296
"FFV","Car",2033,"sales","HOP",2018,"vehicle",449688
"HEV","Car",2033,"sales","HOP",2018,"vehicle",805241
"ICEV-D","Car",2033,"sales","HOP",2018,"vehicle",299686
"ICEV-G","Car",2033,"sales","HOP",2018,"vehicle",6530704
"PHEV20","Car",2033,"sales","HOP",2018,"vehicle",81425
"PHEV40","Car",2033,"sales","HOP",2018,"vehicle",139719
"BEV100","Light truck",2033,"sales","HOP",2018,"vehicle",65793
"BEV300","Light truck",2033,"sales","HOP",2018,"vehicle",62985
"CNG","Light truck",2033,"sales","HOP",2018,"vehicle",40623
"FCV","Light truck",2033,"sales","HOP",2018,"vehicle",27243
"FFV","Light truck",2033,"sales","HOP",2018,"vehicle",793261
"HEV","Light truck",2033,"sales","HOP",2018,"vehicle",63336
"ICEV-D","Light truck",2033,"sales","HOP",2018,"vehicle",123476
"ICEV-G","Light truck",2033,"sales","HOP",2018,"vehicle",3783150
"PHEV20","Light truck",2033,"sales","HOP",2018,"vehicle",65230
"PHEV40","Light truck",2033,"sales","HOP",2018,"vehicle",38675
"BEV100","Car",2034,"sales","HOP",2018,"vehicle",125260
"BEV300","Car",2034,"sales","HOP",2018,"vehicle",1567604
"CNG","Car",2034,"sales","HOP",2018,"vehicle",35852
"FCV","Car",2034,"sales","HOP",2018,"vehicle",27964
"FFV","Car",2034,"sales","HOP",2018,"vehicle",440429
"HEV","Car",2034,"sales","HOP",2018,"vehicle",791918
"ICEV-D","Car",2034,"sales","HOP",2018,"vehicle",302370
"ICEV-G","Car",2034,"sales","HOP",2018,"vehicle",6344701
"PHEV20","Car",2034,"sales","HOP",2018,"vehicle",82933
"PHEV40","Car",2034,"sales","HOP",2018,"vehicle",144894
"BEV100","Light truck",2034,"sales","HOP",2018,"vehicle",68048
"BEV300","Light truck",2034,"sales","HOP",2018,"vehicle",64911
"CNG","Light truck",2034,"sales","HOP",2018,"vehicle",40265
"FCV","Light truck",2034,"sales","HOP",2018,"vehicle",27903
"FFV","Light truck",2034,"sales","HOP",2018,"vehicle",785102
"HEV","Light truck",2034,"sales","HOP",2018,"vehicle",63421
"ICEV-D","Light truck",2034,"sales","HOP",2018,"vehicle",124305
"ICEV-G","Light truck",2034,"sales","HOP",2018,"vehicle",3730749
"PHEV20","Light truck",2034,"sales","HOP",2018,"vehicle",67026
"PHEV40","Light truck",2034,"sales","HOP",2018,"vehicle",39711
"BEV100","Car",2035,"sales","HOP",2018,"vehicle",127065
"BEV300","Car",2035,"sales","HOP",2018,"vehicle",1640417
"CNG","Car",2035,"sales","HOP",2018,"vehicle",35455
"FCV","Car",2035,"sales","HOP",2018,"vehicle",28438
"FFV","Car",2035,"sales","HOP",2018,"vehicle",432966
"HEV","Car",2035,"sales","HOP",2018,"vehicle",776478
"ICEV-D","Car",2035,"sales","HOP",2018,"vehicle",292290
"ICEV-G","Car",2035,"sales","HOP",2018,"vehicle",6162478
"PHEV20","Car",2035,"sales","HOP",2018,"vehicle",83889
"PHEV40","Car",2035,"sales","HOP",2018,"vehicle",149387
"BEV100","Light truck",2035,"sales","HOP",2018,"vehicle",69958
"BEV300","Light truck",2035,"sales","HOP",2018,"vehicle",66448
"CNG","Light truck",2035,"sales","HOP",2018,"vehicle",39806
"FCV","Light truck",2035,"sales","HOP",2018,"vehicle",28368
"FFV","Light truck",2035,"sales","HOP",2018,"vehicle",780479
"HEV","Light truck",2035,"sales","HOP",2018,"vehicle",63210
"ICEV-D","Light truck",2035,"sales","HOP",2018,"vehicle",120464
"ICEV-G","Light truck",2035,"sales","HOP",2018,"vehicle",3664779
