"Technology","Size","Year","Data_type","Aeo_case","Aeo_year","Unit","Value"
"CNG","Car",2032,"sales","REF",2018,"vehicle",38311
"FCV","Car",2032,"sales","REF",2018,"vehicle",1829
"FFV","Car",2032,"sales","REF",2018,"vehicle",381120
"HEV","Car",2032,"sales","REF",2018,"vehicle",433194
"ICEV-D","Car",2032,"sales","REF",2018,"vehicle",11084
"ICEV-G","Car",2032,"sales","REF",2018,"vehicle",7898079
"PHEV20","Car",2032,"sales","REF",2018,"vehicle",20348
"PHEV40","Car",2032,"sales","REF",2018,"vehicle",47704
"BEV100","Light truck",2032,"sales","REF",2018,"vehicle",5913
"BEV300","Light truck",2032,"sales","REF",2018,"vehicle",5274
"CNG","Light truck",2032,"sales","REF",2018,"vehicle",65498
"FCV","Light truck",2032,"sales","REF",2018,"vehicle",1829
"FFV","Light truck",2032,"sales","REF",2018,"vehicle",949731
"HEV","Light truck",2032,"sales","REF",2018,"vehicle",57750
"ICEV-D","Light truck",2032,"sales","REF",2018,"vehicle",58095
"ICEV-G","Light truck",2032,"sales","REF",2018,"vehicle",6280777
"PHEV20","Light truck",2032,"sales","REF",2018,"vehicle",13539
"PHEV40","Light truck",2032,"sales","REF",2018,"vehicle",7749
"BEV100","Car",2033,"sales","REF",2018,"vehicle",31653
"BEV300","Car",2033,"sales","REF",2018,"vehicle",26278
"CNG","Car",2033,"sales","REF",2018,"vehicle",38189
"FCV","Car",2033,"sales","REF",2018,"vehicle",1823
"FFV","Car",2033,"sales","REF",2018,"vehicle",379897
"HEV","Car",2033,"sales","REF",2018,"vehicle",431804
"ICEV-D","Car",2033,"sales","REF",2018,"vehicle",11048
"ICEV-G","Car",2033,"sales","REF",2018,"vehicle",7872732
"PHEV20","Car",2033,"sales","REF",2018,"vehicle",20282
"PHEV40","Car",2033,"sales","REF",2018,"vehicle",47551
"BEV100","Light truck",2033,"sales","REF",2018,"vehicle",5894
"BEV300","Light truck",2033,"sales","REF",2018,"vehicle",5257
"CNG","Light truck",2033,"sales","REF",2018,"vehicle",65288
"FCV","Light truck",2033,"sales","REF",2018,"vehicle",1823
"FFV","Light truck",2033,"sales","REF",2018,"vehicle",946683
"HEV","Light truck",2033,"sales","REF",2018,"vehicle",57565
"ICEV-D","Light truck",2033,"sales","REF",2018,"vehicle",57909
"ICEV-G","Light truck",2033,"sales","REF",2018,"vehicle",6260620
"PHEV20","Light truck",2033,"sales","REF",2018,"vehicle",13496
"PHEV40","Light truck",2033,"sales","REF",2018,"vehicle",7724
"BEV100","Car",2034,"sales","REF",2018,"vehicle",31751
"BEV300","Car",2034,"sales","REF",2018,"vehicle",26359
"CNG","Car",2034,"sales","REF",2018,"vehicle",38306
"FCV","Car",2034,"sales","REF",2018,"vehicle",1828
"FFV","Car",2034,"sales","REF",2018,"vehicle",381068
"HEV","Car",2034,"sales","REF",2018,"vehicle",433135
"ICEV-D","Car",2034,"sales","REF",2018,"vehicle",11082
"ICEV-G","Car",2034,"sales","REF",2018,"vehicle",7897009
"PHEV20","Car",2034,"sales","REF",2018,"vehicle",20345
"PHEV40","Car",2034,"sales","REF",2018,"vehicle",47697
"BEV100","Light truck",2034,"sales","REF",2018,"vehicle",5912
"BEV300","Light truck",2034,"sales","REF",2018,"vehicle",5273
