"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2020,"FFV","Car","y",1,"HOP",2.07829618323142,5088870
2050,"FFV","Car","y",1,"LOP",2.0819529613463,6499605
2040,"FFV","Car","y",1,"LOP",2.08543130885397,6030952
2020,"HEV","Car","y",1,"HOP",2.14187512967987,5244548
2030,"FFV","Car","y",1,"LOP",2.17804782398673,5857921
2030,"FFV","Car","y",1,"REF",2.50728239576619,6492603
2050,"FFV","Car","y",1,"REF",2.51975882157922,7161018
2030,"BEV","Car","y",1,"REF",2.54535772781606,6591199
2040,"FFV","Car","y",1,"REF",2.63345509513896,7092164
2030,"HEV","Car","y",1,"LOP",2.78495427402438,7490213
2030,"FFV","Car","y",1,"HOP",2.83042998679401,7075245
2050,"FFV","Car","y",1,"HOP",2.87149589735552,7319446
2040,"FFV","Car","y",1,"HOP",2.93643520632365,7307344
2030,"HEV","Car","y",1,"REF",3.30160504848411,8549500
2040,"HEV","Car","y",1,"LOP",3.32203241411232,9607134
2030,"BEV","Car","y",1,"HOP",3.57371236787105,8933233
2050,"HEV","Car","y",1,"LOP",3.60545728921598,11255801
2030,"HEV","Car","y",1,"HOP",3.9702712810591,9924514
2040,"HEV","Car","y",1,"REF",4.0579951082512,10928596
2050,"HEV","Car","y",1,"REF",4.30047012156249,12221703
2040,"BEV","Car","y",1,"LOP",4.33814970368607,12545689
2040,"HEV","Car","y",1,"HOP",4.91800608710798,12238500
2050,"HEV","Car","y",1,"HOP",5.00944364075051,12769077
2040,"FFV","Light truck","y",1,"HOP",5.36717593945459,13356263
2050,"FFV","Light truck","y",1,"HOP",5.52133280228608,14073883
2050,"FFV","Light truck","y",1,"REF",5.66735122112463,16106305
2030,"FFV","Light truck","y",1,"HOP",5.718017477706,14293367
2040,"BEV","Car","y",1,"REF",5.86010339874537,15781858
2050,"FFV","Light truck","y",1,"LOP",6.01253016576822,18770391
2040,"FFV","Light truck","y",1,"REF",6.05924622299255,16318170
2030,"FFV","Light truck","y",1,"REF",6.15281432336251,15932701
2040,"FFV","Light truck","y",1,"LOP",6.26665823266489,18122829
2050,"BEV","Car","y",1,"LOP",6.36657368857765,19875672
2020,"FFV","Light truck","y",1,"HOP",6.48758543658312,15885358
2030,"FFV","Light truck","y",1,"LOP",6.59255631967388,17730866
2020,"FFV","Light truck","y",1,"REF",6.60966463145841,16299941
2020,"FFV","Light truck","y",1,"LOP",6.73722766554061,16702512
2040,"BEV","Car","y",1,"HOP",8.53799250218357,21246867
2050,"BEV","Car","y",1,"REF",8.71031706516007,24754249
2050,"BEV","Car","y",1,"HOP",13.0836553643919,33350251
2050,"ICEV-G","Light truck","y",1,"HOP",26.1643323070764,66692910
2040,"ICEV-G","Light truck","y",1,"HOP",27.4189241169201,68232226
2030,"ICEV-G","Light truck","y",1,"HOP",31.3009617524059,78243226
2050,"ICEV-G","Light truck","y",1,"REF",31.8177169318289,90424227
2040,"ICEV-G","Light truck","y",1,"REF",32.9758411591872,88807314
2030,"ICEV-G","Light truck","y",1,"REF",36.0051490286863,93235265
2050,"ICEV-G","Car","y",1,"LOP",37.6235024286929,117456018
2050,"ICEV-G","Light truck","y",1,"LOP",38.0301418419214,118725497
2040,"ICEV-G","Car","y",1,"LOP",38.0392558614252,110007424
2020,"ICEV-G","Light truck","y",1,"HOP",39.1937695589299,95968996
2050,"ICEV-G","Car","y",1,"HOP",40.0150473850534,101998397
2040,"ICEV-G","Light truck","y",1,"LOP",40.094686596513,115951616
2020,"ICEV-G","Light truck","y",1,"REF",40.1372700930335,98981593
2050,"ICEV-G","Car","y",1,"REF",40.7681634885507,115860911
2020,"ICEV-G","Light truck","y",1,"LOP",40.9832652104407,101603139
2030,"ICEV-G","Light truck","y",1,"LOP",41.1290012956845,110617608
2030,"ICEV-G","Car","y",1,"LOP",41.1607042540822,110702874
2040,"ICEV-G","Car","y",1,"REF",42.6759921348848,114930813
2040,"ICEV-G","Car","y",1,"HOP",44.4448188766692,110601310
2030,"ICEV-G","Car","y",1,"REF",45.4469366090672,117684756
2020,"ICEV-G","Car","y",1,"LOP",46.5904816144829,115504198
2020,"ICEV-G","Car","y",1,"REF",47.4773470766844,117082787
2020,"ICEV-G","Car","y",1,"HOP",48.2791347638794,118215220
2030,"ICEV-G","Car","y",1,"HOP",48.3939638248049,120970719
