"Scenario","Size","Technology","Subcomponent","2030"
"Aluminum Maximum","Light truck","ICEV-G","Exterior",-3.55215877349028
"Aluminum Maximum","Light truck","ICEV-G","Interior",-7.99235724035316
"Aluminum Maximum","Light truck","ICEV-G","Tires",-7.77034731701001
"Aluminum Maximum","Light truck","ICEV-G","Transmission",-31.08138926804
"Aluminum Maximum","Light truck","ICEV-G","Wheels",-7.77034731701001
"Aluminum Maximum","Light truck","BEV100","Body",-46.0144696020192
"Aluminum Maximum","Light truck","BEV100","Chassis",-58.9821837625882
"Aluminum Maximum","Light truck","BEV100","Exterior",-3.34650688014687
"Aluminum Maximum","Light truck","BEV100","Interior",-7.5296404803305
"Aluminum Maximum","Light truck","BEV100","Tires",-7.32048380032125
"Aluminum Maximum","Light truck","BEV100","Transmission",-29.281935201285
"Aluminum Maximum","Light truck","BEV100","Wheels",-7.32048380032125
"Aluminum Maximum","Light truck","BEV300","Body",-46.7565745824904
"Aluminum Maximum","Light truck","BEV300","Chassis",-59.9334274193737
"Aluminum Maximum","Light truck","BEV300","Exterior",-3.40047815145385
"Aluminum Maximum","Light truck","BEV300","Interior",-7.65107584077103
"Aluminum Maximum","Light truck","BEV300","Tires",-7.43854595630523
"Aluminum Maximum","Light truck","BEV300","Transmission",-29.7541838252209
"Aluminum Maximum","Light truck","BEV300","Wheels",-7.43854595630524
"Aluminum Maximum","Light truck","FFV","Body",-48.9518865522564
"Aluminum Maximum","Light truck","FFV","Chassis",-62.7474182169829
"Aluminum Maximum","Light truck","FFV","Exterior",-3.56013720380047
"Aluminum Maximum","Light truck","FFV","Interior",-8.01030870855101
"Aluminum Maximum","Light truck","FFV","Tires",-7.78780013331346
"Aluminum Maximum","Light truck","FFV","Transmission",-31.1512005332539
"Aluminum Maximum","Light truck","FFV","Wheels",-7.78780013331346
"Aluminum Maximum","Light truck","ICEV-D","Body",-58.7965995830134
"Aluminum Maximum","Light truck","ICEV-D","Chassis",-75.3665503745901
"Aluminum Maximum","Light truck","ICEV-D","Exterior",-4.2761163333101
"Aluminum Maximum","Light truck","ICEV-D","Interior",-9.62126174994762
"Aluminum Maximum","Light truck","ICEV-D","Tires",-9.35400447911575
"Aluminum Maximum","Light truck","ICEV-D","Transmission",-37.416017916463
"Aluminum Maximum","Light truck","ICEV-D","Wheels",-9.35400447911575
