"Year","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value","Case","Scenario"
2050,"PHEV","Car","y",1,"REF",0.645575295630198,1834690,"REF","Original"
2050,"BEV","Car","y",1,"REF",0.654732402004289,1860714,"REF","Original"
2050,"ICEV-D","Light truck","y",1,"REF_EV",0.656714145135049,1866346,"REF","High EV"
2030,"ICEV-D","Car","y",1,"REF_EV",0.762518965492569,1971582,"REF","High EV"
2040,"ICEV-D","Car","y",1,"REF_EV",0.780121529662415,2100947,"REF","High EV"
2040,"ICEV-D","Light truck","y",1,"REF_EV",0.8211118048959,2211338,"REF","High EV"
2030,"ICEV-D","Car","y",1,"REF",0.824837832474177,2135916,"REF","Original"
2030,"BEV","Car","y",1,"REF_EV",0.865021772366132,2236615,"REF","High EV"
2030,"ICEV-D","Light truck","y",1,"REF",0.904155133382797,2341308,"REF","Original"
2030,"ICEV-D","Light truck","y",1,"REF_EV",0.909244485938946,2350958,"REF","High EV"
2030,"BEV","Light truck","y",1,"REF_EV",0.914983154891076,2365796,"REF","High EV"
2030,"BEV","Light truck","y",1,"REF_EV",0.921836838170541,2383517,"REF","High EV"
2040,"ICEV-D","Light truck","y",1,"REF",1.03077925769556,2775994,"REF","Original"
2050,"ICEV-D","Light truck","y",1,"REF",1.04949855130946,2982618,"REF","Original"
2050,"FFV","Car","y",1,"REF_EV",1.17865830227536,3349683,"REF","High EV"
2050,"ICEV-D","Car","y",1,"REF",1.24705932111724,3544075,"REF","Original"
2040,"ICEV-D","Car","y",1,"REF",1.31564032559907,3543154,"REF","Original"
2040,"FFV","Car","y",1,"REF_EV",1.62117130802229,4365980,"REF","High EV"
2020,"FFV","Car","y",1,"REF_EV",1.86876478034788,4612472,"REF","High EV"
2020,"FFV","Car","y",1,"REF_BAU",1.87014588052236,4616626,"REF","No Change"
2020,"HEV","Car","y",1,"REF_BAU",1.92629531097204,4755236,"REF","No Change"
2050,"HEV","Car","y",1,"REF_EV",1.99317806128878,5664504,"REF","High EV"
2020,"HEV","Car","y",1,"REF_EV",2.01303996933919,4968571,"REF","High EV"
2020,"FFV","Car","y",1,"REF",2.03572730494702,5020260,"REF","Original"
2020,"HEV","Car","y",1,"REF",2.0391371743377,5028669,"REF","Original"
2040,"BEV","Car","y",1,"REF_EV",2.13993365027118,5763060,"REF","High EV"
2030,"FFV","Car","y",1,"REF_EV",2.21875745711759,5736857,"REF","High EV"
2030,"FFV","Car","y",1,"REF_BAU",2.35119778156849,6088422,"REF","No Change"
2040,"HEV","Car","y",1,"REF_EV",2.47002212715887,6652022,"REF","High EV"
2040,"FFV","Car","y",1,"REF_BAU",2.4973442336256,6725603,"REF","No Change"
2030,"FFV","Car","y",1,"REF",2.50728239576619,6492603,"REF","Original"
2050,"BEV","Car","y",1,"REF_EV",2.51950372353865,7160293,"REF","High EV"
2050,"FFV","Car","y",1,"REF",2.51975882157922,7161018,"REF","Original"
2030,"BEV","Car","y",1,"REF",2.54535772781606,6591199,"REF","Original"
2050,"FFV","Car","y",1,"REF_BAU",2.55374727131923,7257611,"REF","No Change"
2030,"HEV","Car","y",1,"REF_BAU",2.61184521006121,6763368,"REF","No Change"
2040,"FFV","Car","y",1,"REF",2.63345509513896,7092164,"REF","Original"
2040,"HEV","Car","y",1,"REF_BAU",2.83129703845985,7624972,"REF","No Change"
2050,"HEV","Car","y",1,"REF_BAU",2.90267934643522,8249257,"REF","No Change"
2030,"HEV","Car","y",1,"REF_EV",3.03654485563794,7851342,"REF","High EV"
2030,"HEV","Car","y",1,"REF",3.30160504848411,8549500,"REF","Original"
2050,"FFV","Light truck","y",1,"REF_EV",3.3428276617479,9500135,"REF","High EV"
2040,"HEV","Car","y",1,"REF",4.0579951082512,10928596,"REF","Original"
2050,"HEV","Car","y",1,"REF",4.30047012156249,12221703,"REF","Original"
2040,"FFV","Light truck","y",1,"REF_EV",4.67124754742411,12580147,"REF","High EV"
2050,"FFV","Light truck","y",1,"REF_BAU",5.15704651032263,14656046,"REF","No Change"
2040,"BEV","Light truck","y",1,"REF_EV",5.25810013915588,14160601,"REF","High EV"
2040,"FFV","Light truck","y",1,"REF_BAU",5.44860627452632,14673653,"REF","No Change"
2040,"BEV","Light truck","y",1,"REF_EV",5.50197094451882,14817370,"REF","High EV"
2050,"FFV","Light truck","y",1,"REF",5.66735122112463,16106305,"REF","Original"
2040,"BEV","Car","y",1,"REF",5.86010339874537,15781858,"REF","Original"
2030,"FFV","Light truck","y",1,"REF_BAU",6.00120443420922,15540107,"REF","No Change"
2030,"FFV","Light truck","y",1,"REF_EV",6.0495761746616,15641887,"REF","High EV"
2040,"FFV","Light truck","y",1,"REF",6.05924622299255,16318170,"REF","Original"
2030,"FFV","Light truck","y",1,"REF",6.15281432336251,15932701,"REF","Original"
2030,"BEV","Car","y",1,"REF_EV",6.29891124632921,16286572,"REF","High EV"
2020,"FFV","Light truck","y",1,"REF_EV",6.5805212665467,16241996,"REF","High EV"
2020,"FFV","Light truck","y",1,"REF_BAU",6.59513442844478,16280692,"REF","No Change"
2020,"FFV","Light truck","y",1,"REF",6.60966463145841,16299941,"REF","Original"
2050,"BEV","Light truck","y",1,"REF_EV",8.04684138609132,22868687,"REF","High EV"
2050,"BEV","Car","y",1,"REF",8.71031706516007,24754249,"REF","Original"
2050,"BEV","Light truck","y",1,"REF_EV",8.99265358611925,25556634,"REF","High EV"
2050,"ICEV-G","Light truck","y",1,"REF_EV",18.4356546083168,52393131,"REF","High EV"
2050,"ICEV-G","Car","y",1,"REF_EV",19.0239705451947,54065093,"REF","High EV"
2040,"BEV","Car","y",1,"REF_EV",23.6355865872286,63653050,"REF","High EV"
2040,"ICEV-G","Light truck","y",1,"REF_EV",24.370293204507,65631690,"REF","High EV"
2040,"ICEV-G","Car","y",1,"REF_EV",26.8490335303615,72307191,"REF","High EV"
2050,"ICEV-G","Light truck","y",1,"REF",31.8177169318289,90424227,"REF","Original"
2040,"ICEV-G","Light truck","y",1,"REF",32.9758411591872,88807314,"REF","Original"
2050,"BEV","Car","y",1,"REF_EV",33.5691758567992,95401778,"REF","High EV"
2050,"ICEV-G","Light truck","y",1,"REF_BAU",34.1046987713878,96923701,"REF","No Change"
2030,"ICEV-G","Light truck","y",1,"REF_EV",34.3608705388308,88844051,"REF","High EV"
2040,"ICEV-G","Light truck","y",1,"REF_BAU",35.1058019671813,94543509,"REF","No Change"
2030,"ICEV-G","Light truck","y",1,"REF",36.0051490286863,93235265,"REF","Original"
2030,"ICEV-G","Light truck","y",1,"REF_BAU",37.1873815914329,96296651,"REF","No Change"
2020,"ICEV-G","Light truck","y",1,"REF_EV",40.0397210441719,98825756,"REF","High EV"
2020,"ICEV-G","Light truck","y",1,"REF",40.1372700930335,98981593,"REF","Original"
2020,"ICEV-G","Light truck","y",1,"REF_BAU",40.1740736856984,99173372,"REF","No Change"
2050,"ICEV-G","Car","y",1,"REF",40.7681634885507,115860911,"REF","Original"
2030,"ICEV-G","Car","y",1,"REF_EV",41.8014617014043,108082570,"REF","High EV"
2040,"ICEV-G","Car","y",1,"REF",42.6759921348848,114930813,"REF","Original"
2030,"ICEV-G","Car","y",1,"REF",45.4469366090672,117684756,"REF","Original"
2020,"ICEV-G","Car","y",1,"REF_EV",47.3752161156025,116931173,"REF","High EV"
2020,"ICEV-G","Car","y",1,"REF",47.4773470766844,117082787,"REF","Original"
2020,"ICEV-G","Car","y",1,"REF_BAU",47.911371220943,118273598,"REF","No Change"
2030,"ICEV-G","Car","y",1,"REF_BAU",49.6415270477789,128546636,"REF","No Change"
2040,"ICEV-G","Car","y",1,"REF_BAU",51.7599020846629,139394701,"REF","No Change"
2050,"ICEV-G","Car","y",1,"REF_BAU",52.9223357742796,150402403,"REF","No Change"
