"Scenario","Scrapped material","Year","Recovered material","value"
"CL100","Mild steel and other steels",2018,"Loss",0.132285714285714
"CL100","Mild steel and other steels",2019,"Loss",0.129714285714286
"CL100","Mild steel and other steels",2020,"Loss",0.127142857142857
"CL100","Mild steel and other steels",2021,"Loss",0.124571428571429
"CL100","Mild steel and other steels",2022,"Loss",0.122
"CL100","Mild steel and other steels",2023,"Loss",0.119428571428572
"CL100","Mild steel and other steels",2024,"Loss",0.116857142857143
"CL100","Mild steel and other steels",2025,"Loss",0.114285714285714
"CL100","Mild steel and other steels",2026,"Loss",0.111714285714286
"CL100","Mild steel and other steels",2027,"Loss",0.109142857142857
"CL100","Mild steel and other steels",2028,"Loss",0.106571428571429
"CL100","Mild steel and other steels",2029,"Loss",0.104
"CL100","Mild steel and other steels",2030,"Loss",0.101428571428572
"CL100","Mild steel and other steels",2031,"Loss",0.0988571428571429
"CL100","Mild steel and other steels",2032,"Loss",0.0962857142857144
"CL100","Mild steel and other steels",2033,"Loss",0.0937142857142858
"CL100","Mild steel and other steels",2034,"Loss",0.0911428571428572
"CL100","Mild steel and other steels",2035,"Loss",0.0885714285714286
"CL100","Mild steel and other steels",2036,"Loss",0.0860000000000001
"CL100","Mild steel and other steels",2037,"Loss",0.0834285714285715
"CL100","Mild steel and other steels",2038,"Loss",0.0808571428571429
"CL100","Mild steel and other steels",2039,"Loss",0.0782857142857144
"CL100","Mild steel and other steels",2040,"Loss",0.0757142857142858
"CL100","Mild steel and other steels",2041,"Loss",0.0731428571428572
"CL100","Mild steel and other steels",2042,"Loss",0.0705714285714286
"CL100","Mild steel and other steels",2043,"Loss",0.0680000000000001
"CL100","Mild steel and other steels",2044,"Loss",0.0654285714285715
"CL100","Mild steel and other steels",2045,"Loss",0.0628571428571429
"CL100","Mild steel and other steels",2046,"Loss",0.0602857142857144
"CL100","Mild steel and other steels",2047,"Loss",0.0577142857142858
"CL100","Mild steel and other steels",2048,"Loss",0.0551428571428572
"CL100","Mild steel and other steels",2049,"Loss",0.0525714285714286
"CL100","HSS/AHSS",2050,"Loss",0.05
"CL100","HSS/AHSS",2016,"Loss",0.137428571428571
"CL100","HSS/AHSS",2017,"Loss",0.134857142857143
"CL100","HSS/AHSS",2018,"Loss",0.132285714285714
"CL100","HSS/AHSS",2019,"Loss",0.129714285714286
"CL100","HSS/AHSS",2020,"Loss",0.127142857142857
"CL100","HSS/AHSS",2021,"Loss",0.124571428571429
"CL100","HSS/AHSS",2022,"Loss",0.122
"CL100","HSS/AHSS",2023,"Loss",0.119428571428572
"CL100","HSS/AHSS",2024,"Loss",0.116857142857143
"CL100","HSS/AHSS",2025,"Loss",0.114285714285714
"CL100","HSS/AHSS",2026,"Loss",0.111714285714286
"CL100","HSS/AHSS",2027,"Loss",0.109142857142857
"CL100","HSS/AHSS",2028,"Loss",0.106571428571429
"CL100","HSS/AHSS",2029,"Loss",0.104
"CL100","HSS/AHSS",2030,"Loss",0.101428571428572
"CL100","HSS/AHSS",2031,"Loss",0.0988571428571429
"CL100","HSS/AHSS",2032,"Loss",0.0962857142857144
"CL100","HSS/AHSS",2033,"Loss",0.0937142857142858
"CL100","HSS/AHSS",2034,"Loss",0.0911428571428572
"CL100","HSS/AHSS",2035,"Loss",0.0885714285714286
"CL100","HSS/AHSS",2036,"Loss",0.0860000000000001
"CL100","HSS/AHSS",2037,"Loss",0.0834285714285715
"CL100","HSS/AHSS",2038,"Loss",0.0808571428571429
"CL100","HSS/AHSS",2039,"Loss",0.0782857142857144
"CL100","HSS/AHSS",2040,"Loss",0.0757142857142858
"CL100","HSS/AHSS",2041,"Loss",0.0731428571428572
"CL100","HSS/AHSS",2042,"Loss",0.0705714285714286
"CL100","HSS/AHSS",2043,"Loss",0.0680000000000001
"CL100","HSS/AHSS",2044,"Loss",0.0654285714285715
"CL100","HSS/AHSS",2045,"Loss",0.0628571428571429
"CL100","HSS/AHSS",2046,"Loss",0.0602857142857144
"CL100","HSS/AHSS",2047,"Loss",0.0577142857142858
"CL100","HSS/AHSS",2048,"Loss",0.0551428571428572
"CL100","HSS/AHSS",2049,"Loss",0.0525714285714286
