"Year","Age","Technology","Size","Adj_stock","Survival_rate_mdl","AEO","Rel_value","Value"
2040,0,"HEV","Car","y",1,"REF",4.38499622429942,740201
2050,0,"HEV","Car","y",1,"HOP",4.77216043735574,752310
2020,0,"FFV","Light truck","y",1,"HOP",4.80947292099311,768726
2050,0,"FFV","Light truck","y",1,"REF",4.8941090074846,891966
2040,0,"HEV","Car","y",1,"HOP",5.12836343210976,754238
2030,0,"HEV","Car","y",1,"HOP",5.3357847653172,816660
2040,0,"FFV","Light truck","y",1,"HOP",5.37864242835833,791047
2030,0,"FFV","Light truck","y",1,"HOP",5.55092536330457,849588
2030,0,"BEV","Car","y",1,"REF",5.62052400618535,918061
2020,0,"FFV","Light truck","y",1,"REF",5.65991791752168,903946
2050,0,"FFV","Light truck","y",1,"HOP",5.70815242647463,899865
2050,0,"FFV","Light truck","y",1,"LOP",5.71408839650377,1165799
2040,0,"FFV","Light truck","y",1,"REF",6.02485345204837,1017014
2040,0,"FFV","Light truck","y",1,"LOP",6.03074150216526,1124131
2030,0,"FFV","Light truck","y",1,"REF",6.219302682575,1015866
2030,0,"FFV","Light truck","y",1,"LOP",6.36746667950283,1116459
2040,0,"BEV","Car","y",1,"LOP",6.39480777186153,1191993
2020,0,"FFV","Light truck","y",1,"LOP",6.51131108539593,1042320
2050,0,"BEV","Car","y",1,"LOP",7.85391291629667,1602370
2030,0,"BEV","Car","y",1,"HOP",8.34714550607827,1277559
2040,0,"BEV","Car","y",1,"REF",8.90433239055844,1503079
2050,0,"BEV","Car","y",1,"REF",10.7319940265452,1955938
2040,0,"BEV","Car","y",1,"HOP",13.5250405125059,1989153
2050,0,"BEV","Car","y",1,"HOP",16.4013415409427,2585599
2030,0,"ICEV-G","Light truck","y",1,"HOP",24.3879456451147,3732658
2050,0,"ICEV-G","Light truck","y",1,"HOP",24.8081360733362,3910893
2040,0,"ICEV-G","Light truck","y",1,"HOP",24.8922244614147,3660946
2040,0,"ICEV-G","Light truck","y",1,"REF",30.3950561100444,5130780
2020,0,"ICEV-G","Light truck","y",1,"HOP",30.7485913200553,4914726
2050,0,"ICEV-G","Light truck","y",1,"REF",31.2454352600745,5694574
2030,0,"ICEV-G","Light truck","y",1,"REF",31.725058071828,5181997
2050,0,"ICEV-G","Light truck","y",1,"LOP",35.6568440432391,7274776
2030,0,"ICEV-G","Car","y",1,"LOP",36.5793169102742,6413745
2020,0,"ICEV-G","Light truck","y",1,"REF",36.5886150336525,5843571
2050,0,"ICEV-G","Car","y",1,"HOP",36.8619659365014,5811126
2040,0,"ICEV-G","Car","y",1,"LOP",36.9584023358782,6889051
2040,0,"ICEV-G","Light truck","y",1,"LOP",37.7034983827533,7027937
2050,0,"ICEV-G","Car","y",1,"LOP",37.9155920882403,7735610
2050,0,"ICEV-G","Car","y",1,"REF",39.4490537576366,7189708
2040,0,"ICEV-G","Car","y",1,"HOP",39.8246041204209,5857079
2030,0,"ICEV-G","Light truck","y",1,"LOP",40.2244362061349,7052873
2040,0,"ICEV-G","Car","y",1,"REF",40.5562373821193,6846019
2020,0,"ICEV-G","Car","y",1,"LOP",40.7068325787446,6516283
2030,0,"ICEV-G","Car","y",1,"REF",42.3040303091413,6909975
2020,0,"ICEV-G","Light truck","y",1,"LOP",42.410304553345,6788972
2030,0,"ICEV-G","Car","y",1,"HOP",45.2137031911738,6920111
2020,0,"ICEV-G","Car","y",1,"REF",46.3259334460334,7398719
2020,0,"ICEV-G","Car","y",1,"HOP",51.3356049561109,8205268
