"Scenario","Size","Technology","Material","Year","value"
"Aluminum Intensive","Light truck","CNG","Cast Aluminum",2030,191.224955460653
"Aluminum Intensive","Light truck","CNG","Cast Iron",2030,133.952007959101
"Aluminum Intensive","Light truck","CNG","HSS/AHSS",2030,383.993539427138
"Aluminum Intensive","Light truck","CNG","Steel",2030,426.223757156061
"Aluminum Intensive","Light truck","CNG","Other",2030,614.746549483174
"Aluminum Intensive","Light truck","CNG","Wrought Aluminum",2030,181.655557599177
"Aluminum Intensive","Light truck","HEV","Cast Aluminum",2030,208.347295861627
"Aluminum Intensive","Light truck","HEV","Cast Iron",2030,90.5281241319312
"Aluminum Intensive","Light truck","HEV","HSS/AHSS",2030,357.486029818891
"Aluminum Intensive","Light truck","HEV","Steel",2030,472.678269925972
"Aluminum Intensive","Light truck","HEV","Other",2030,655.04940073481
"Aluminum Intensive","Light truck","HEV","Wrought Aluminum",2030,163.470019935952
"Aluminum Intensive","Light truck","PHEV20","Cast Aluminum",2030,208.528300796818
"Aluminum Intensive","Light truck","PHEV20","Cast Iron",2030,88.2873602334134
"Aluminum Intensive","Light truck","PHEV20","HSS/AHSS",2030,363.218565980596
"Aluminum Intensive","Light truck","PHEV20","Steel",2030,493.271716410186
"Aluminum Intensive","Light truck","PHEV20","Other",2030,633.728817678757
"Aluminum Intensive","Light truck","PHEV20","Wrought Aluminum",2030,165.87164720951
"Aluminum Intensive","Light truck","PHEV40","Cast Aluminum",2030,220.150210291541
"Aluminum Intensive","Light truck","PHEV40","Cast Iron",2030,89.8350028160168
"Aluminum Intensive","Light truck","PHEV40","HSS/AHSS",2030,348.334493287764
"Aluminum Intensive","Light truck","PHEV40","Steel",2030,511.113832924099
"Aluminum Intensive","Light truck","PHEV40","Other",2030,689.062848011919
"Aluminum Intensive","Light truck","PHEV40","Wrought Aluminum",2030,158.631681690256
"Aluminum Intensive","Light truck","FCV","Cast Aluminum",2030,192.102925311486
"Aluminum Intensive","Light truck","FCV","Cast Iron",2030,19.9065166741644
"Aluminum Intensive","Light truck","FCV","HSS/AHSS",2030,401.319822381296
"Aluminum Intensive","Light truck","FCV","Steel",2030,394.130722227935
"Aluminum Intensive","Light truck","FCV","Other",2030,922.174114325011
"Aluminum Intensive","Light truck","FCV","Wrought Aluminum",2030,214.846998455547
"Aluminum Maximum","Car","ICEV-G","Cast Aluminum",2030,181.190100496382
"Aluminum Maximum","Car","ICEV-G","Cast Iron",2030,49.6554361561569
"Aluminum Maximum","Car","ICEV-G","HSS/AHSS",2030,96.6487378851067
"Aluminum Maximum","Car","ICEV-G","Steel",2030,255.105239931621
"Aluminum Maximum","Car","ICEV-G","Other",2030,483.75350788792
"Aluminum Maximum","Car","ICEV-G","Wrought Aluminum",2030,309.707388006988
"Aluminum Maximum","Car","BEV100","Cast Aluminum",2030,162.907060724827
"Aluminum Maximum","Car","BEV100","Cast Iron",2030,0
"Aluminum Maximum","Car","BEV100","HSS/AHSS",2030,100.5904832263
"Aluminum Maximum","Car","BEV100","Steel",2030,200.963254335863
"Aluminum Maximum","Car","BEV100","Other",2030,563.046242410336
"Aluminum Maximum","Car","BEV100","Wrought Aluminum",2030,324.406635816692
"Aluminum Maximum","Car","BEV300","Cast Aluminum",2030,136.957392549441
"Aluminum Maximum","Car","BEV300","Cast Iron",2030,0
"Aluminum Maximum","Car","BEV300","HSS/AHSS",2030,75.9422912395476
"Aluminum Maximum","Car","BEV300","Steel",2030,147.523383663026
"Aluminum Maximum","Car","BEV300","Other",2030,696.994557924659
"Aluminum Maximum","Car","BEV300","Wrought Aluminum",2030,272.199814225238
"Aluminum Maximum","Car","FFV","Cast Aluminum",2030,181.384933832913
"Aluminum Maximum","Car","FFV","Cast Iron",2030,49.7163810663936
"Aluminum Maximum","Car","FFV","HSS/AHSS",2030,96.7757006962849
"Aluminum Maximum","Car","FFV","Steel",2030,255.426441175576
"Aluminum Maximum","Car","FFV","Other",2030,484.20440128024
"Aluminum Maximum","Car","FFV","Wrought Aluminum",2030,310.119444436437
"Aluminum Maximum","Car","ICEV-D","Cast Aluminum",2030,188.251143397564
"Aluminum Maximum","Car","ICEV-D","Cast Iron",2030,51.8632918920018
"Aluminum Maximum","Car","ICEV-D","HSS/AHSS",2030,101.25343912492
"Aluminum Maximum","Car","ICEV-D","Steel",2030,266.750895959667
"Aluminum Maximum","Car","ICEV-D","Other",2030,500.106696828804
"Aluminum Maximum","Car","ICEV-D","Wrought Aluminum",2030,324.652620733064
"Aluminum Maximum","Car","CNG","Cast Aluminum",2030,181.384933832913
"Aluminum Maximum","Car","CNG","Cast Iron",2030,49.7163810663936
"Aluminum Maximum","Car","CNG","HSS/AHSS",2030,96.7757006962849
"Aluminum Maximum","Car","CNG","Steel",2030,255.426441175576
"Aluminum Maximum","Car","CNG","Other",2030,484.20440128024
