"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"BAU","2016","Light truck","PHEV40","Manufacturing","Mild steel and other steels","GWP100",515.998082166535,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Primary Material Production","Mild steel and other steels","GWP100",444.045107941913,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Primary Material Production","Mild steel and other steels","GWP100",1227.42179153009,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Primary Material Production","Mild steel and other steels","GWP100",475.021354722763,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Primary Material Production","Mild steel and other steels","GWP100",1422.12715861445,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Primary Material Production","Mild steel and other steels","GWP100",429.870020798766,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Primary Material Production","Mild steel and other steels","GWP100",1234.84294800307,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Primary Material Production","Mild steel and other steels","GWP100",451.384186083137,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Primary Material Production","Mild steel and other steels","GWP100",1427.47028705193,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Primary Material Production","Mild steel and other steels","GWP100",626.079487171566,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Primary Material Production","Mild steel and other steels","GWP100",1295.91615828566,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Primary Material Production","Mild steel and other steels","GWP100",782.949361287842,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Primary Material Production","Mild steel and other steels","GWP100",1693.44191719579,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Primary Material Production","Mild steel and other steels","GWP100",525.589839417206,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Primary Material Production","Mild steel and other steels","GWP100",1224.1643213077,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Primary Material Production","Mild steel and other steels","GWP100",678.812920912137,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Primary Material Production","Mild steel and other steels","GWP100",1642.77599485508,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Primary Material Production","Mild steel and other steels","GWP100",754.120523102426,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Primary Material Production","Mild steel and other steels","GWP100",1539.56655786036,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Primary Material Production","Mild steel and other steels","GWP100",836.37387582158,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Primary Material Production","Mild steel and other steels","GWP100",1782.95694749512,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Primary Material Production","Mild steel and other steels","GWP100",807.469323179983,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Primary Material Production","Mild steel and other steels","GWP100",1606.93812980256,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Primary Material Production","Mild steel and other steels","GWP100",899.599266218737,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Primary Material Production","Mild steel and other steels","GWP100",1865.45592371825,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Secondary Material Production","Mild steel and other steels","GWP100",37.9005835018914,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Secondary Material Production","Mild steel and other steels","GWP100",104.764136052621,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Secondary Material Production","Mild steel and other steels","GWP100",40.5444991913001,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Secondary Material Production","Mild steel and other steels","GWP100",121.382823864879,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Secondary Material Production","Mild steel and other steels","GWP100",36.6906972441518,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Secondary Material Production","Mild steel and other steels","GWP100",105.397554044519,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Secondary Material Production","Mild steel and other steels","GWP100",38.5269958616798,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Secondary Material Production","Mild steel and other steels","GWP100",121.838875923295,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Secondary Material Production","Mild steel and other steels","GWP100",53.4377644477312,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Secondary Material Production","Mild steel and other steels","GWP100",110.610335954835,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Secondary Material Production","Mild steel and other steels","GWP100",66.8270793090782,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Secondary Material Production","Mild steel and other steels","GWP100",144.540353311759,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Secondary Material Production","Mild steel and other steels","GWP100",44.8606712252831,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Secondary Material Production","Mild steel and other steels","GWP100",104.486101186432,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Secondary Material Production","Mild steel and other steels","GWP100",57.9387213844922,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Secondary Material Production","Mild steel and other steels","GWP100",140.215864682046,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Secondary Material Production","Mild steel and other steels","GWP100",64.366451392304,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Secondary Material Production","Mild steel and other steels","GWP100",131.406629279967,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Secondary Material Production","Mild steel and other steels","GWP100",71.3870220669631,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Secondary Material Production","Mild steel and other steels","GWP100",152.180729975874,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Secondary Material Production","Mild steel and other steels","GWP100",68.9199316939712,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Secondary Material Production","Mild steel and other steels","GWP100",137.156995272926,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Secondary Material Production","Mild steel and other steels","GWP100",76.7834990134011,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Secondary Material Production","Mild steel and other steels","GWP100",159.222265354245,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Manufacturing","Vehicle Assembly","GWP100",810.51705158,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","End of Life","Vehicle Disposal","GWP100",238.3140749,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Manufacturing","Wrought Aluminum","GWP100",116.558938904893,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Manufacturing","Wrought Aluminum","GWP100",14.1241998811255,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Manufacturing","Wrought Aluminum","GWP100",136.901536349018,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Manufacturing","Wrought Aluminum","GWP100",15.8388957412293,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Manufacturing","Wrought Aluminum","GWP100",109.991336912528,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Manufacturing","Wrought Aluminum","GWP100",13.6263473179802,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Manufacturing","Wrought Aluminum","GWP100",127.504064064136,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Manufacturing","Wrought Aluminum","GWP100",15.0969849578245,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Manufacturing","Wrought Aluminum","GWP100",100.04602069336,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Manufacturing","Wrought Aluminum","GWP100",12.1808679385329,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Manufacturing","Wrought Aluminum","GWP100",134.740815450745,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Manufacturing","Wrought Aluminum","GWP100",15.566347386432,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Manufacturing","Wrought Aluminum","GWP100",107.204232000433,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Manufacturing","Wrought Aluminum","GWP100",15.1630662940696,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","Wrought Aluminum","GWP100",146.464292187191,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","Wrought Aluminum","GWP100",19.3834169575983,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","Wrought Aluminum","GWP100",117.519431138764,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","Wrought Aluminum","GWP100",14.2606760699486,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","Wrought Aluminum","GWP100",139.345154465253,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","Wrought Aluminum","GWP100",16.098478448832,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","Wrought Aluminum","GWP100",116.428997306106,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","Wrought Aluminum","GWP100",14.2462471559636,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","Wrought Aluminum","GWP100",137.194856565582,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Manufacturing","Wrought Aluminum","GWP100",16.0062205795148,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Primary Material Production","Wrought Aluminum","GWP100",3913.17218261951,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Primary Material Production","Wrought Aluminum","GWP100",474.184361970527,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Primary Material Production","Wrought Aluminum","GWP100",4596.123547727,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Primary Material Production","Wrought Aluminum","GWP100",531.75094763485,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Primary Material Production","Wrought Aluminum","GWP100",3692.68152214766,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Primary Material Production","Wrought Aluminum","GWP100",457.470218727204,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Primary Material Production","Wrought Aluminum","GWP100",4280.62713468788,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Primary Material Production","Wrought Aluminum","GWP100",506.84316564162,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Primary Material Production","Wrought Aluminum","GWP100",3358.79263175584,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Primary Material Production","Wrought Aluminum","GWP100",408.941896906956,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Primary Material Production","Wrought Aluminum","GWP100",4523.58279715938,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Primary Material Production","Wrought Aluminum","GWP100",522.600824526042,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Primary Material Production","Wrought Aluminum","GWP100",3599.11150928961,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Primary Material Production","Wrought Aluminum","GWP100",509.061679718824,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Primary Material Production","Wrought Aluminum","GWP100",4917.16893889733,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Primary Material Production","Wrought Aluminum","GWP100",650.749301213869,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Primary Material Production","Wrought Aluminum","GWP100",3945.41828511943,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Primary Material Production","Wrought Aluminum","GWP100",478.766205548635,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Primary Material Production","Wrought Aluminum","GWP100",4678.16185836399,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Primary Material Production","Wrought Aluminum","GWP100",540.465781863983,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Primary Material Production","Wrought Aluminum","GWP100",3908.80972140878,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Primary Material Production","Wrought Aluminum","GWP100",478.281791179714,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Primary Material Production","Wrought Aluminum","GWP100",4605.9710336671,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Primary Material Production","Wrought Aluminum","GWP100",537.36845675763,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Secondary Material Production","Wrought Aluminum","GWP100",155.592214859683,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Secondary Material Production","Wrought Aluminum","GWP100",18.854114178393,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Secondary Material Production","Wrought Aluminum","GWP100",182.747144563641,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Secondary Material Production","Wrought Aluminum","GWP100",21.1430276601979,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Secondary Material Production","Wrought Aluminum","GWP100",146.825253270038,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Secondary Material Production","Wrought Aluminum","GWP100",18.1895406699077,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Light truck","BEV300","Secondary Material Production","Wrought Aluminum","GWP100",170.202645268908,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Light truck","BEV300","Secondary Material Production","Wrought Aluminum","GWP100",20.1526656759281,"2016","Curent Lightweighting","BEV300 BAU"
"Aluminum Maximum","2016","Car","HEV","Secondary Material Production","Wrought Aluminum","GWP100",133.54944797738,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Car","HEV","Secondary Material Production","Wrought Aluminum","GWP100",16.259998926518,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Light truck","HEV","Secondary Material Production","Wrought Aluminum","GWP100",179.862841108115,"2016","Curent Lightweighting","HEV Aluminum Maximum"
"BAU","2016","Light truck","HEV","Secondary Material Production","Wrought Aluminum","GWP100",20.779208269101,"2016","Curent Lightweighting","HEV BAU"
"Aluminum Maximum","2016","Car","ICEV-G","Secondary Material Production","Wrought Aluminum","GWP100",143.104802222754,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Car","ICEV-G","Secondary Material Production","Wrought Aluminum","GWP100",20.2408763405399,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Light truck","ICEV-G","Secondary Material Production","Wrought Aluminum","GWP100",195.512277594217,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Secondary Material Production","Wrought Aluminum","GWP100",25.8745387039111,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Secondary Material Production","Wrought Aluminum","GWP100",156.874356885234,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Secondary Material Production","Wrought Aluminum","GWP100",19.0362935349838,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Secondary Material Production","Wrought Aluminum","GWP100",186.009081902368,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Secondary Material Production","Wrought Aluminum","GWP100",21.4895394661104,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Secondary Material Production","Wrought Aluminum","GWP100",155.418758397677,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Secondary Material Production","Wrought Aluminum","GWP100",19.017032663994,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Secondary Material Production","Wrought Aluminum","GWP100",183.138691900869,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Secondary Material Production","Wrought Aluminum","GWP100",21.3663862668777,"2016","Curent Lightweighting","PHEV40 BAU"
