"LWscen","i_year","Size","Technology","Phase","Process","LCIA","value","vh_lca_yrs","Case","x_axis"
"Aluminum Maximum","2016","Light truck","ICEV-G","Manufacturing","Cast Iron","GWP100",106.322746650441,"2016","Curent Lightweighting","ICEV-G Aluminum Maximum"
"BAU","2016","Light truck","ICEV-G","Manufacturing","Cast Iron","GWP100",265.414832529088,"2016","Curent Lightweighting","ICEV-G BAU"
"Aluminum Maximum","2016","Car","PHEV20","Manufacturing","Cast Iron","GWP100",59.7796604620686,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Car","PHEV20","Manufacturing","Cast Iron","GWP100",160.526192175066,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Light truck","PHEV20","Manufacturing","Cast Iron","GWP100",63.7316312274981,"2016","Curent Lightweighting","PHEV20 Aluminum Maximum"
"BAU","2016","Light truck","PHEV20","Manufacturing","Cast Iron","GWP100",177.348316061966,"2016","Curent Lightweighting","PHEV20 BAU"
"Aluminum Maximum","2016","Car","PHEV40","Manufacturing","Cast Iron","GWP100",64.7845810174833,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Car","PHEV40","Manufacturing","Cast Iron","GWP100",172.153247642192,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Light truck","PHEV40","Manufacturing","Cast Iron","GWP100",69.6132704309229,"2016","Curent Lightweighting","PHEV40 Aluminum Maximum"
"BAU","2016","Light truck","PHEV40","Manufacturing","Cast Iron","GWP100",190.914319627076,"2016","Curent Lightweighting","PHEV40 BAU"
"Aluminum Maximum","2016","Car","BEV100","Primary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Car","BEV100","Primary Material Production","Cast Iron","GWP100",11.1063636525265,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Light truck","BEV100","Primary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV100 Aluminum Maximum"
"BAU","2016","Light truck","BEV100","Primary Material Production","Cast Iron","GWP100",13.2600354652251,"2016","Curent Lightweighting","BEV100 BAU"
"Aluminum Maximum","2016","Car","BEV300","Primary Material Production","Cast Iron","GWP100",0,"2016","Curent Lightweighting","BEV300 Aluminum Maximum"
"BAU","2016","Car","BEV300","Primary Material Production","Cast Iron","GWP100",10.8358378960713,"2016","Curent Lightweighting","BEV300 BAU"
