"Year","Data_type","Source","Unit","Aeo_year","Aeo_case","Value","rel_Value"
2042,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",3.820927,0.000856172407079545
2042,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1531.879155,0.343255095816101
2042,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",664.10916,0.148809945356395
2042,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.743934,0.00128706928943841
2042,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.68662,0.000153854051163227
2042,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1114.495352,0.24973001792518
2043,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1140.877332,0.254130493670074
2043,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",4.09574,0.000912326329001221
2043,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1548.957757,0.345030432649967
2043,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",662.431009,0.147556546718675
2043,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.757739,0.0012825367052638
2043,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.65348,0.000145562708930674
2043,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1126.563584,0.250942105450341
2044,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1151.342222,0.255002881532094
2044,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",4.371815,0.000968283279482851
2044,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1551.516187,0.343634664714561
2044,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",661.057217,0.146413022967021
2044,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.763677,0.00127655723479605
2044,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.62057,0.000137445787332875
2044,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1140.344782,0.252567134075005
2045,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1151.617813,0.253514006346015
2045,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",4.747016,0.0010449951631207
2045,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1563.622284,0.344211547575937
2045,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",655.429164,0.144284389635139
2045,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.708754,0.00125670954499541
2045,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.603727,0.000132902816178704
2045,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1160.891241,0.255555433509005
2046,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1145.066091,0.250321376662276
2046,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",5.134944,0.00112254328485193
2046,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1581.257493,0.345676599470013
2046,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",649.926647,0.142079600719342
2046,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.693077,0.00124455599837018
2046,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.577416,0.000126228144526223
2046,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1186.728361,0.259429110148793
2047,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1144.633982,0.248652605955791
2047,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",5.490558,0.0011927319792358
2047,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1595.743562,0.346648624248583
2047,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",647.092502,0.140570033256931
2047,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.69188,0.00123646581968038
2047,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.549408,0.00011934970748838
2047,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1204.14417,0.261580199893955
2048,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1143.067137,0.246735460400311
2048,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",5.820481,0.00125637332471598
2048,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1615.071355,0.348619395533614
2048,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",645.884091,0.139416577906676
2048,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.829845,0.00125839458031541
2048,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.520794,0.000112415398189966
2048,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1216.57021,0.262601382856178
2049,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1152.128633,0.247245182264457
2049,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",6.149829,0.00131974464347875
2049,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1623.195911,0.34833555678684
2049,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",645.884091,0.138605816422764
2049,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.671599,0.0012171171589014
2049,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.486397,0.000104380111276937
2049,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1226.346514,0.26317223501667
2050,"Electricity Generation","Coal","billion kilowatthours",2018,"REF",1154.824308,0.246170314877391
2050,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"REF",6.545797,0.00139534723806098
2050,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"REF",1653.447303,0.352460231736552
2050,"Electricity Generation","Nuclear","billion kilowatthours",2018,"REF",634.918153,0.13534353283234
2050,"Electricity Generation","Petroleum","billion kilowatthours",2018,"REF",5.660602,0.00120665296624116
2050,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"REF",0.453556,9.66831253560088e-05
2050,"Electricity Generation","Renewables","billion kilowatthours",2018,"REF",1235.310317,0.263327267706925
2016,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1228.067362,0.314722919382171
2016,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0,0
2016,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1276.435461,0.327118452227742
2016,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",804.239993,0.206106575512799
2016,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",15.533867,0.00398094121121538
2016,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"HOP",3.973703,0.00101836059455319
2016,"Electricity Generation","Renewables","billion kilowatthours",2018,"HOP",573.808508,0.147052754915644
2017,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1251.675784,0.326993467240342
2017,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0,0
2017,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1143.985768,0.298860038305195
2017,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",792.317544,0.206988634101363
2017,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",11.571024,0.00302286686827937
2017,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"HOP",2.715155,0.000709319425121154
2017,"Electricity Generation","Renewables","billion kilowatthours",2018,"HOP",625.565914,0.163425680852058
2018,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1228.638754,0.316725827312647
2018,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0,0
2018,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1226.246188,0.316109057376583
2018,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",797.014391,0.205459124211835
2018,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",11.455184,0.00295298566613388
2018,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"HOP",2.623536,0.000676310760489419
2018,"Electricity Generation","Renewables","billion kilowatthours",2018,"HOP",613.209146,0.158076711686185
2019,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1158.892073,0.292474226637245
2019,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0.233772,5.89979744467904e-05
2019,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1324.517048,0.334273663878661
2019,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",788.091392,0.198893776016595
2019,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",7.551158,0.00190571594000854
2019,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"HOP",2.503949,0.000631931621913943
2019,"Electricity Generation","Renewables","billion kilowatthours",2018,"HOP",680.583986,0.171761702064074
2020,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1136.793959,0.285235761290599
2020,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0.287381,7.21074717775253e-05
2020,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1287.861217,0.323140417627459
2020,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",764.671011,0.191865479432441
2020,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",7.395591,0.00185564588233258
2020,"Electricity Generation","Pumped Storage/Other","billion kilowatthours",2018,"HOP",2.439379,0.000612070569721686
2020,"Electricity Generation","Renewables","billion kilowatthours",2018,"HOP",786.005255,0.197218506936433
2021,"Electricity Generation","Coal","billion kilowatthours",2018,"HOP",1042.997404,0.260176732517451
2021,"Electricity Generation","Distributed Generation","billion kilowatthours",2018,"HOP",0.328295,8.18935119821416e-05
2021,"Electricity Generation","Natural Gas","billion kilowatthours",2018,"HOP",1309.252783,0.326594399769301
2021,"Electricity Generation","Nuclear","billion kilowatthours",2018,"HOP",761.216421,0.189886188014336
2021,"Electricity Generation","Petroleum","billion kilowatthours",2018,"HOP",7.03352,0.00175451851047574
