"Region","Year","value"
"CN",2029,0.000360662259411622
"IAI Area 2, without Quebec",2029,0.160765028463393
"RoW",2030,0.000464833902859036
"UN-EUROPE",2030,0.154384511284298
"IAI Area 3",2030,0.0530092712286955
"UN-OCEANIA",2030,0.0030986450146159
"IAI Area 4&5 without China",2030,0.0287754528375878
"IAI Area 8",2030,0.151977247759143
"IAI Area 1",2030,0.00855111426784582
"CA-QC",2030,0.43861323298215
"CN",2030,0.000360662259411622
"IAI Area 2, without Quebec",2030,0.160765028463393
"RoW",2031,0.000464833902859036
"UN-EUROPE",2031,0.154384511284298
"IAI Area 3",2031,0.0530092712286955
"UN-OCEANIA",2031,0.0030986450146159
"IAI Area 4&5 without China",2031,0.0287754528375878
"IAI Area 8",2031,0.151977247759143
"IAI Area 1",2031,0.00855111426784582
"CA-QC",2031,0.43861323298215
"CN",2031,0.000360662259411622
"IAI Area 2, without Quebec",2031,0.160765028463393
"RoW",2032,0.000464833902859036
"UN-EUROPE",2032,0.154384511284298
"IAI Area 3",2032,0.0530092712286955
"UN-OCEANIA",2032,0.0030986450146159
"IAI Area 4&5 without China",2032,0.0287754528375878
"IAI Area 8",2032,0.151977247759143
"IAI Area 1",2032,0.00855111426784582
"CA-QC",2032,0.43861323298215
"CN",2032,0.000360662259411622
"IAI Area 2, without Quebec",2032,0.160765028463393
"RoW",2033,0.000464833902859036
"UN-EUROPE",2033,0.154384511284298
"IAI Area 3",2033,0.0530092712286955
"UN-OCEANIA",2033,0.0030986450146159
"IAI Area 4&5 without China",2033,0.0287754528375878
"IAI Area 8",2033,0.151977247759143
"IAI Area 1",2033,0.00855111426784582
"CA-QC",2033,0.43861323298215
"CN",2033,0.000360662259411622
"IAI Area 2, without Quebec",2033,0.160765028463393
"RoW",2034,0.000464833902859036
"UN-EUROPE",2034,0.154384511284298
"IAI Area 3",2034,0.0530092712286955
"UN-OCEANIA",2034,0.0030986450146159
"IAI Area 4&5 without China",2034,0.0287754528375878
"IAI Area 8",2034,0.151977247759143
"IAI Area 1",2034,0.00855111426784582
"CA-QC",2034,0.43861323298215
"CN",2034,0.000360662259411622
"IAI Area 2, without Quebec",2034,0.160765028463393
"RoW",2035,0.000464833902859036
"UN-EUROPE",2035,0.154384511284298
"IAI Area 3",2035,0.0530092712286955
"UN-OCEANIA",2035,0.0030986450146159
"IAI Area 4&5 without China",2035,0.0287754528375878
"IAI Area 8",2035,0.151977247759143
"IAI Area 1",2035,0.00855111426784582
"CA-QC",2035,0.43861323298215
"CN",2035,0.000360662259411622
"IAI Area 2, without Quebec",2035,0.160765028463393
"RoW",2036,0.000464833902859036
"UN-EUROPE",2036,0.154384511284298
"IAI Area 3",2036,0.0530092712286955
"UN-OCEANIA",2036,0.0030986450146159
"IAI Area 4&5 without China",2036,0.0287754528375878
"IAI Area 8",2036,0.151977247759143
"IAI Area 1",2036,0.00855111426784582
"CA-QC",2036,0.43861323298215
"CN",2036,0.000360662259411622
"IAI Area 2, without Quebec",2036,0.160765028463393
"RoW",2037,0.000464833902859036
"UN-EUROPE",2037,0.154384511284298
"IAI Area 3",2037,0.0530092712286955
"UN-OCEANIA",2037,0.0030986450146159
"IAI Area 4&5 without China",2037,0.0287754528375878
"IAI Area 8",2037,0.151977247759143
"IAI Area 1",2037,0.00855111426784582
"CA-QC",2037,0.43861323298215
"CN",2037,0.000360662259411622
"IAI Area 2, without Quebec",2037,0.160765028463393
"RoW",2038,0.000464833902859036
"UN-EUROPE",2038,0.154384511284298
"IAI Area 3",2038,0.0530092712286955
"UN-OCEANIA",2038,0.0030986450146159
"IAI Area 4&5 without China",2038,0.0287754528375878
"IAI Area 8",2038,0.151977247759143
"IAI Area 1",2038,0.00855111426784582
"CA-QC",2038,0.43861323298215
"CN",2038,0.000360662259411622
"IAI Area 2, without Quebec",2038,0.160765028463393
"RoW",2039,0.000464833902859036
"UN-EUROPE",2039,0.154384511284298
"IAI Area 3",2039,0.0530092712286955
"UN-OCEANIA",2039,0.0030986450146159
"IAI Area 4&5 without China",2039,0.0287754528375878
"IAI Area 8",2039,0.151977247759143
"IAI Area 1",2039,0.00855111426784582
"CA-QC",2039,0.43861323298215
"CN",2039,0.000360662259411622
"IAI Area 2, without Quebec",2039,0.160765028463393
"RoW",2040,0.000464833902859036
"UN-EUROPE",2040,0.154384511284298
"IAI Area 3",2040,0.0530092712286955
"UN-OCEANIA",2040,0.0030986450146159
"IAI Area 4&5 without China",2040,0.0287754528375878
"IAI Area 8",2040,0.151977247759143
"IAI Area 1",2040,0.00855111426784582
"CA-QC",2040,0.43861323298215
"CN",2040,0.000360662259411622
"IAI Area 2, without Quebec",2040,0.160765028463393
"RoW",2041,0.000464833902859036
"UN-EUROPE",2041,0.154384511284298
"IAI Area 3",2041,0.0530092712286955
"UN-OCEANIA",2041,0.0030986450146159
"IAI Area 4&5 without China",2041,0.0287754528375878
"IAI Area 8",2041,0.151977247759143
"IAI Area 1",2041,0.00855111426784582
"CA-QC",2041,0.43861323298215
"CN",2041,0.000360662259411622
"IAI Area 2, without Quebec",2041,0.160765028463393
"RoW",2042,0.000464833902859036
"UN-EUROPE",2042,0.154384511284298
"IAI Area 3",2042,0.0530092712286955
"UN-OCEANIA",2042,0.0030986450146159
"IAI Area 4&5 without China",2042,0.0287754528375878
"IAI Area 8",2042,0.151977247759143
"IAI Area 1",2042,0.00855111426784582
"CA-QC",2042,0.43861323298215
"CN",2042,0.000360662259411622
"IAI Area 2, without Quebec",2042,0.160765028463393
"RoW",2043,0.000464833902859036
"UN-EUROPE",2043,0.154384511284298
"IAI Area 3",2043,0.0530092712286955
"UN-OCEANIA",2043,0.0030986450146159
"IAI Area 4&5 without China",2043,0.0287754528375878
"IAI Area 8",2043,0.151977247759143
"IAI Area 1",2043,0.00855111426784582
"CA-QC",2043,0.43861323298215
"CN",2043,0.000360662259411622
"IAI Area 2, without Quebec",2043,0.160765028463393
"RoW",2044,0.000464833902859036
"UN-EUROPE",2044,0.154384511284298
"IAI Area 3",2044,0.0530092712286955
"UN-OCEANIA",2044,0.0030986450146159
"IAI Area 4&5 without China",2044,0.0287754528375878
"IAI Area 8",2044,0.151977247759143
"IAI Area 1",2044,0.00855111426784582
"CA-QC",2044,0.43861323298215
"CN",2044,0.000360662259411622
"IAI Area 2, without Quebec",2044,0.160765028463393
"RoW",2045,0.000464833902859036
"UN-EUROPE",2045,0.154384511284298
"IAI Area 3",2045,0.0530092712286955
"UN-OCEANIA",2045,0.0030986450146159
"IAI Area 4&5 without China",2045,0.0287754528375878
"IAI Area 8",2045,0.151977247759143
"IAI Area 1",2045,0.00855111426784582
"CA-QC",2045,0.43861323298215
"CN",2045,0.000360662259411622
"IAI Area 2, without Quebec",2045,0.160765028463393
"RoW",2046,0.000464833902859036
"UN-EUROPE",2046,0.154384511284298
"IAI Area 3",2046,0.0530092712286955
"UN-OCEANIA",2046,0.0030986450146159
"IAI Area 4&5 without China",2046,0.0287754528375878
"IAI Area 8",2046,0.151977247759143
"IAI Area 1",2046,0.00855111426784582
"CA-QC",2046,0.43861323298215
"CN",2046,0.000360662259411622
"IAI Area 2, without Quebec",2046,0.160765028463393
"RoW",2047,0.000464833902859036
"UN-EUROPE",2047,0.154384511284298
"IAI Area 3",2047,0.0530092712286955
"UN-OCEANIA",2047,0.0030986450146159
"IAI Area 4&5 without China",2047,0.0287754528375878
"IAI Area 8",2047,0.151977247759143
"IAI Area 1",2047,0.00855111426784582
"CA-QC",2047,0.43861323298215
"CN",2047,0.000360662259411622
"IAI Area 2, without Quebec",2047,0.160765028463393
"RoW",2048,0.000464833902859036
"UN-EUROPE",2048,0.154384511284298
"IAI Area 3",2048,0.0530092712286955
"UN-OCEANIA",2048,0.0030986450146159
"IAI Area 4&5 without China",2048,0.0287754528375878
"IAI Area 8",2048,0.151977247759143
"IAI Area 1",2048,0.00855111426784582
"CA-QC",2048,0.43861323298215
"CN",2048,0.000360662259411622
"IAI Area 2, without Quebec",2048,0.160765028463393
"RoW",2049,0.000464833902859036
"UN-EUROPE",2049,0.154384511284298
"IAI Area 3",2049,0.0530092712286955
"UN-OCEANIA",2049,0.0030986450146159
"IAI Area 4&5 without China",2049,0.0287754528375878
"IAI Area 8",2049,0.151977247759143
"IAI Area 1",2049,0.00855111426784582
"CA-QC",2049,0.43861323298215
"CN",2049,0.000360662259411622
"IAI Area 2, without Quebec",2049,0.160765028463393
"RoW",2050,0.000464833902859036
"UN-EUROPE",2050,0.154384511284298
"IAI Area 3",2050,0.0530092712286955
"UN-OCEANIA",2050,0.0030986450146159
"IAI Area 4&5 without China",2050,0.0287754528375878
"IAI Area 8",2050,0.151977247759143
"IAI Area 1",2050,0.00855111426784582
"CA-QC",2050,0.43861323298215
"CN",2050,0.000360662259411622
"IAI Area 2, without Quebec",2050,0.160765028463393
