"Scenario","Fuel","Unit","Year","value"
"Steel Intensive","Hydrogen","L",2033,3762818859.31115
"Aluminum Intensive","E10","L",2033,358266901610.593
"Aluminum Intensive","Electricity","kWh",2033,48743506175.2242
"Aluminum Intensive","E85","L",2033,58878983128.361
"Aluminum Intensive","Diesel","L",2033,7115191069.15887
"Aluminum Intensive","CNG & LPG","L",2033,852710258.860356
"Aluminum Intensive","Hydrogen","L",2033,3688259952.85994
"Aluminum Maximum","E10","L",2033,344587492004.467
"Aluminum Maximum","Electricity","kWh",2033,46467437504.1527
"Aluminum Maximum","E85","L",2033,56576929930.091
"Aluminum Maximum","Diesel","L",2033,6703444768.82434
"Aluminum Maximum","CNG & LPG","L",2033,804070636.07436
"Aluminum Maximum","Hydrogen","L",2033,3606261367.39553
"No Lightweighting","E10","L",2033,380558351678.249
"No Lightweighting","Electricity","kWh",2033,52747849807.6842
"No Lightweighting","E85","L",2033,62650436031.4023
"No Lightweighting","Diesel","L",2033,7790391626.3435
"No Lightweighting","CNG & LPG","L",2033,932756307.526309
"No Lightweighting","Hydrogen","L",2033,3828049432.39925
"Steel Intensive","E10","L",2034,367820656086.912
"Steel Intensive","Electricity","kWh",2034,54874417724.1615
"Steel Intensive","E85","L",2034,60951419174.1299
"Steel Intensive","Diesel","L",2034,7723420439.2499
"Steel Intensive","CNG & LPG","L",2034,905020518.839159
"Steel Intensive","Hydrogen","L",2034,3950950825.42533
"Aluminum Intensive","E10","L",2034,355102453180.826
"Aluminum Intensive","Electricity","kWh",2034,52577780226.0658
"Aluminum Intensive","E85","L",2034,58790571208.3997
"Aluminum Intensive","Diesel","L",2034,7336497554.76327
"Aluminum Intensive","CNG & LPG","L",2034,861089463.972962
"Aluminum Intensive","Hydrogen","L",2034,3870451328.28284
"Aluminum Maximum","E10","L",2034,340568313461.957
"Aluminum Maximum","Electricity","kWh",2034,50053318327.7005
"Aluminum Maximum","E85","L",2034,56324855570.5372
"Aluminum Maximum","Diesel","L",2034,6895783776.86516
"Aluminum Maximum","CNG & LPG","L",2034,811117889.677423
"Aluminum Maximum","Hydrogen","L",2034,3781976758.9891
"No Lightweighting","E10","L",2034,378816434418.107
"No Lightweighting","Electricity","kWh",2034,57024032476.5747
"No Lightweighting","E85","L",2034,62835132728.4067
"No Lightweighting","Diesel","L",2034,8059844378.58767
"No Lightweighting","CNG & LPG","L",2034,943374188.139174
"No Lightweighting","Hydrogen","L",2034,4021438854.24144
"Steel Intensive","E10","L",2035,365820473661.33
"Steel Intensive","Electricity","kWh",2035,58990263017.9376
"Steel Intensive","E85","L",2035,61191016758.0872
"Steel Intensive","Diesel","L",2035,7935489352.1844
"Steel Intensive","CNG & LPG","L",2035,915967400.772528
"Steel Intensive","Hydrogen","L",2035,4122645554.01917
"Aluminum Intensive","E10","L",2035,352403706869.162
"Aluminum Intensive","Electricity","kWh",2035,56465537373.2935
"Aluminum Intensive","E85","L",2035,58890784052.3547
"Aluminum Intensive","Diesel","L",2035,7525911118.7151
"Aluminum Intensive","CNG & LPG","L",2035,871014070.779756
"Aluminum Intensive","Hydrogen","L",2035,4036642432.39158
"Aluminum Maximum","E10","L",2035,337081682710.51
"Aluminum Maximum","Electricity","kWh",2035,53692286773.1306
"Aluminum Maximum","E85","L",2035,56267727334.3412
