"Year","Region","value","Unit"
2020,"IAI Area 3",12.0758165708381,"kg CO2eq / kg prim alu"
2020,"IAI Area 4&5 without China",27.851226810363,"kg CO2eq / kg prim alu"
2020,"IAI Area 8",18.6879745197334,"kg CO2eq / kg prim alu"
2020,"UN-EUROPE",8.4350086676091,"kg CO2eq / kg prim alu"
2020,"UN-OCEANIA",20.4168768548767,"kg CO2eq / kg prim alu"
2021,"CA-QC",7.27973558577818,"kg CO2eq / kg prim alu"
2021,"CN",23.9885840736738,"kg CO2eq / kg prim alu"
2021,"IAI Area 1",14.0247347896674,"kg CO2eq / kg prim alu"
2021,"IAI Area 2, without Quebec",19.4479295831227,"kg CO2eq / kg prim alu"
2021,"IAI Area 3",12.061154699882,"kg CO2eq / kg prim alu"
2021,"IAI Area 4&5 without China",27.8204333173715,"kg CO2eq / kg prim alu"
2021,"IAI Area 8",18.6514245145227,"kg CO2eq / kg prim alu"
2021,"UN-EUROPE",8.43120927081268,"kg CO2eq / kg prim alu"
2021,"UN-OCEANIA",20.3685485166843,"kg CO2eq / kg prim alu"
2022,"CA-QC",7.27918288743596,"kg CO2eq / kg prim alu"
2022,"CN",23.9007177380944,"kg CO2eq / kg prim alu"
2022,"IAI Area 1",13.998994961945,"kg CO2eq / kg prim alu"
2022,"IAI Area 2, without Quebec",19.3980825851579,"kg CO2eq / kg prim alu"
2022,"IAI Area 3",12.0465313924622,"kg CO2eq / kg prim alu"
2022,"IAI Area 4&5 without China",27.7896840956372,"kg CO2eq / kg prim alu"
2022,"IAI Area 8",18.6149830532525,"kg CO2eq / kg prim alu"
2022,"UN-EUROPE",8.42741734367016,"kg CO2eq / kg prim alu"
2022,"UN-OCEANIA",20.3203866737691,"kg CO2eq / kg prim alu"
2023,"CA-QC",7.27863230973068,"kg CO2eq / kg prim alu"
2023,"CN",23.8132907341931,"kg CO2eq / kg prim alu"
2023,"IAI Area 1",13.9733415365766,"kg CO2eq / kg prim alu"
2023,"IAI Area 2, without Quebec",19.3484268441175,"kg CO2eq / kg prim alu"
2023,"IAI Area 3",12.0319465471491,"kg CO2eq / kg prim alu"
2023,"IAI Area 4&5 without China",27.7589790815121,"kg CO2eq / kg prim alu"
2023,"IAI Area 8",18.5786498135758,"kg CO2eq / kg prim alu"
2023,"UN-EUROPE",8.42363287149611,"kg CO2eq / kg prim alu"
2023,"UN-OCEANIA",20.2723907525404,"kg CO2eq / kg prim alu"
2024,"CA-QC",7.2780838445257,"kg CO2eq / kg prim alu"
2024,"CN",23.7263008653112,"kg CO2eq / kg prim alu"
2024,"IAI Area 1",13.9477742235304,"kg CO2eq / kg prim alu"
2024,"IAI Area 2, without Quebec",19.2989616261713,"kg CO2eq / kg prim alu"
2024,"IAI Area 3",12.01740006278,"kg CO2eq / kg prim alu"
2024,"IAI Area 4&5 without China",27.7283182114399,"kg CO2eq / kg prim alu"
2024,"IAI Area 8",18.5424244741027,"kg CO2eq / kg prim alu"
2024,"UN-EUROPE",8.41985583963399,"kg CO2eq / kg prim alu"
2024,"UN-OCEANIA",20.2245601813838,"kg CO2eq / kg prim alu"
2025,"CA-QC",7.27753748371561,"kg CO2eq / kg prim alu"
2025,"CN",23.6397459457737,"kg CO2eq / kg prim alu"
2025,"IAI Area 1",13.9222927337482,"kg CO2eq / kg prim alu"
2025,"IAI Area 2, without Quebec",19.2496862003054,"kg CO2eq / kg prim alu"
2025,"IAI Area 3",12.0028918384582,"kg CO2eq / kg prim alu"
2025,"IAI Area 4&5 without China",27.6977014219551,"kg CO2eq / kg prim alu"
2025,"IAI Area 8",18.5063067143979,"kg CO2eq / kg prim alu"
2025,"UN-EUROPE",8.41608623345607,"kg CO2eq / kg prim alu"
2025,"UN-OCEANIA",20.1768943906541,"kg CO2eq / kg prim alu"
2026,"CA-QC",7.27699321922612,"kg CO2eq / kg prim alu"
2026,"CN",23.5536238008339,"kg CO2eq / kg prim alu"
2026,"IAI Area 1",13.896896779142,"kg CO2eq / kg prim alu"
2026,"IAI Area 2, without Quebec",19.2005998383103,"kg CO2eq / kg prim alu"
2026,"IAI Area 3",11.9884217735524,"kg CO2eq / kg prim alu"
2026,"IAI Area 4&5 without China",27.6671286496842,"kg CO2eq / kg prim alu"
2026,"IAI Area 8",18.4702962149777,"kg CO2eq / kg prim alu"
2026,"UN-EUROPE",8.41232403836337,"kg CO2eq / kg prim alu"
2026,"UN-OCEANIA",20.1293928126687,"kg CO2eq / kg prim alu"
2027,"CA-QC",7.27645104301388,"kg CO2eq / kg prim alu"
