"Scenario","Size","Technology","Subcomponent","bat_impro","fc_impro","frv_impro","Case","Year","value"
"BAU","Car","HEV","Electronic Controller","n","n","n","No improvements",2019,0.129902786426079
"BAU","Car","PHEV40","Electronic Controller","n","n","n","No improvements",2019,0.148613350428015
"BAU","Car","FFV","Engine","n","n","n","No improvements",2019,1.49104723823822
"BAU","Car","HEV","Engine","n","n","n","No improvements",2019,1.12424246842113
"BAU","Car","ICEV-G","Engine","n","n","n","No improvements",2019,1.49059536446947
"BAU","Car","PHEV40","Engine","n","n","n","No improvements",2019,1.15552725404422
"BAU","Car","HEV","EV Battery","n","n","n","No improvements",2019,0.391289285229242
"BAU","Car","BEV300","Exterior","n","n","n","No improvements",2019,0.176834021439156
"BAU","Car","FFV","Exterior","n","n","n","No improvements",2019,0.184989448431566
"BAU","Car","HEV","Exterior","n","n","n","No improvements",2019,0.187406514714603
"BAU","Car","ICEV-G","Exterior","n","n","n","No improvements",2019,0.184982032102958
"BAU","Car","PHEV40","Exterior","n","n","n","No improvements",2019,0.186832617118064
"BAU","Car","FFV","Fuel storage system","n","n","n","No improvements",2019,0.399387653099531
"BAU","Car","ICEV-G","Fuel storage system","n","n","n","No improvements",2019,0.399266615482887
"BAU","Car","HEV","Generator","n","n","n","No improvements",2019,0.261783907271756
"BAU","Car","PHEV40","Generator","n","n","n","No improvements",2019,0.402499147253799
"BAU","Car","BEV300","Interior","n","n","n","No improvements",2019,12.7978765482381
"BAU","Car","FFV","Interior","n","n","n","No improvements",2019,12.816226258971
"BAU","Car","HEV","Interior","n","n","n","No improvements",2019,12.8216646581078
"BAU","Car","ICEV-G","Interior","n","n","n","No improvements",2019,12.8162095722316
"BAU","Car","PHEV40","Interior","n","n","n","No improvements",2019,12.8203733885156
"BAU","Car","BEV300","Tires","n","n","n","No improvements",2019,0.386824421898147
"BAU","Car","FFV","Tires","n","n","n","No improvements",2019,0.404664418444032
"BAU","Car","HEV","Tires","n","n","n","No improvements",2019,0.409951750938205
"BAU","Car","ICEV-G","Tires","n","n","n","No improvements",2019,0.404648195225199
"BAU","Car","PHEV40","Tires","n","n","n","No improvements",2019,0.408696349945764
"BAU","Car","BEV300","Traction Motor","n","n","n","No improvements",2019,0.806850798909267
"BAU","Car","HEV","Traction Motor","n","n","n","No improvements",2019,0.169934814355422
"BAU","Car","PHEV40","Traction Motor","n","n","n","No improvements",2019,0.326179920644122
"BAU","Car","BEV300","Transmission","n","n","n","No improvements",2019,1.54729768759258
"BAU","Car","FFV","Transmission","n","n","n","No improvements",2019,1.61865767377613
"BAU","Car","HEV","Transmission","n","n","n","No improvements",2019,1.63980700375282
"BAU","Car","ICEV-G","Transmission","n","n","n","No improvements",2019,1.61859278090081
"BAU","Car","PHEV40","Transmission","n","n","n","No improvements",2019,1.6347853997831
"BAU","Car","BEV300","Wheels","n","n","n","No improvements",2019,0.386824421898151
"BAU","Car","FFV","Wheels","n","n","n","No improvements",2019,0.404664418444028
"BAU","Car","HEV","Wheels","n","n","n","No improvements",2019,0.409951750938209
"BAU","Car","ICEV-G","Wheels","n","n","n","No improvements",2019,0.404648195225203
"BAU","Car","PHEV40","Wheels","n","n","n","No improvements",2019,0.408696349945764
"BAU","Car","BEV300","Body","n","n","n","No improvements",2020,3.03922428333971
"BAU","Car","FFV","Body","n","n","n","No improvements",2020,3.17922142130237
