"Year","Age","Technology","Size","Value"
"2030",13,"ICEV-G","Car",4777586
"2040",13,"ICEV-G","Car",4337420
"2050",13,"ICEV-G","Car",4202336
"2020",14,"ICEV-G","Car",4123142
"2030",14,"ICEV-G","Car",4731043
"2040",14,"ICEV-G","Car",3999844
"2050",14,"ICEV-G","Car",3859307
"2020",15,"ICEV-G","Car",3961407
"2030",15,"ICEV-G","Car",3496347
"2040",15,"ICEV-G","Car",3665971
"2050",15,"ICEV-G","Car",3512843
"2020",16,"ICEV-G","Car",3530731
"2030",16,"ICEV-G","Car",3627035
"2040",16,"ICEV-G","Car",3392745
"2050",16,"ICEV-G","Car",3204950
"2020",17,"ICEV-G","Car",3181528
"2030",17,"ICEV-G","Car",2940342
"2040",17,"ICEV-G","Car",3072473
"2050",17,"ICEV-G","Car",2893103
"2020",18,"ICEV-G","Car",2972943
"2030",18,"ICEV-G","Car",2542945
"2040",18,"ICEV-G","Car",2740418
"2050",18,"ICEV-G","Car",2598750
"2020",19,"ICEV-G","Car",2669164
"2030",19,"ICEV-G","Car",2035931
"2040",19,"ICEV-G","Car",2428346
"2050",19,"ICEV-G","Car",2305473
"2020",20,"ICEV-G","Car",2481379
"2030",20,"ICEV-G","Car",1548181
"2040",20,"ICEV-G","Car",2191547
"2050",20,"ICEV-G","Car",2027026
"2020",21,"ICEV-G","Car",2280582
"2030",21,"ICEV-G","Car",1143848
"2040",21,"ICEV-G","Car",1889587
"2050",21,"ICEV-G","Car",1759883
"2020",22,"ICEV-G","Car",1625766
"2030",22,"ICEV-G","Car",1331952
"2040",22,"ICEV-G","Car",1682173
"2050",22,"ICEV-G","Car",1526234
"2020",23,"ICEV-G","Car",1424847
"2030",23,"ICEV-G","Car",1361911
"2040",23,"ICEV-G","Car",1431529
"2050",23,"ICEV-G","Car",1298048
"2020",24,"ICEV-G","Car",1207284
"2030",24,"ICEV-G","Car",1118694
"2040",24,"ICEV-G","Car",1266478
"2050",24,"ICEV-G","Car",1069428
"2020",25,"ICEV-G","Car",961415
"2030",25,"ICEV-G","Car",970913
"2040",25,"ICEV-G","Car",845480
"2050",25,"ICEV-G","Car",885412
"2020",26,"ICEV-G","Car",822131
"2030",26,"ICEV-G","Car",781706
"2040",26,"ICEV-G","Car",792298
"2050",26,"ICEV-G","Car",740211
"2020",27,"ICEV-G","Car",629478
"2030",27,"ICEV-G","Car",643451
"2040",27,"ICEV-G","Car",586725
"2050",27,"ICEV-G","Car",612341
"2020",28,"ICEV-G","Car",490604
"2030",28,"ICEV-G","Car",555487
"2040",28,"ICEV-G","Car",468794
"2050",28,"ICEV-G","Car",504580
"2020",29,"ICEV-G","Car",387096
"2030",29,"ICEV-G","Car",466051
"2040",29,"ICEV-G","Car",350735
"2050",29,"ICEV-G","Car",417825
"2020",30,"ICEV-G","Car",338630
"2030",30,"ICEV-G","Car",404877
"2040",30,"ICEV-G","Car",249235
"2050",30,"ICEV-G","Car",352376
"2020",0,"PHEV","Car",67669
"2030",0,"PHEV","Car",164458
"2040",0,"PHEV","Car",201129
"2050",0,"PHEV","Car",221213
"2020",1,"PHEV","Car",47506
"2030",1,"PHEV","Car",153074
"2040",1,"PHEV","Car",197996
"2050",1,"PHEV","Car",218554
"2020",2,"PHEV","Car",43293
"2030",2,"PHEV","Car",140800
"2040",2,"PHEV","Car",195386
"2050",2,"PHEV","Car",216292
"2020",3,"PHEV","Car",65109
"2030",3,"PHEV","Car",132197
"2040",3,"PHEV","Car",192911
"2050",3,"PHEV","Car",215067
"2020",4,"PHEV","Car",60368
"2030",4,"PHEV","Car",128090
"2040",4,"PHEV","Car",188415
"2050",4,"PHEV","Car",211826
"2020",5,"PHEV","Car",75775
"2030",5,"PHEV","Car",119736
"2040",5,"PHEV","Car",179727
"2050",5,"PHEV","Car",204182
"2020",6,"PHEV","Car",60220
"2030",6,"PHEV","Car",102613
"2040",6,"PHEV","Car",170414
"2050",6,"PHEV","Car",194801
"2020",7,"PHEV","Car",33887
"2030",7,"PHEV","Car",86198
"2040",7,"PHEV","Car",159495
"2050",7,"PHEV","Car",184595
"2020",8,"PHEV","Car",26071
"2030",8,"PHEV","Car",69162
"2040",8,"PHEV","Car",149006
"2050",8,"PHEV","Car",174634
"2020",9,"PHEV","Car",3315
"2030",9,"PHEV","Car",66518
"2040",9,"PHEV","Car",137461
"2050",9,"PHEV","Car",164179
"2020",10,"PHEV","Car",0
"2030",10,"PHEV","Car",50825
"2040",10,"PHEV","Car",124789
"2050",10,"PHEV","Car",153066
"2020",11,"PHEV","Car",0
"2030",11,"PHEV","Car",33227
"2040",11,"PHEV","Car",108436
"2050",11,"PHEV","Car",140808
"2020",12,"PHEV","Car",0
"2030",12,"PHEV","Car",28049
"2040",12,"PHEV","Car",92493
"2050",12,"PHEV","Car",128946
"2020",13,"PHEV","Car",0
"2030",13,"PHEV","Car",38906
"2040",13,"PHEV","Car",79927
"2050",13,"PHEV","Car",117242
"2020",14,"PHEV","Car",0
"2030",14,"PHEV","Car",33159
"2040",14,"PHEV","Car",71320
"2050",14,"PHEV","Car",105462
"2020",15,"PHEV","Car",0
"2030",15,"PHEV","Car",38903
"2040",15,"PHEV","Car",62300
"2050",15,"PHEV","Car",94013
"2020",16,"PHEV","Car",0
"2030",16,"PHEV","Car",29063
"2040",16,"PHEV","Car",50209
"2050",16,"PHEV","Car",83825
"2020",17,"PHEV","Car",0
"2030",17,"PHEV","Car",15319
"2040",17,"PHEV","Car",39471
"2050",17,"PHEV","Car",73416
"2020",18,"PHEV","Car",0
"2030",18,"PHEV","Car",10965
"2040",18,"PHEV","Car",29460
"2050",18,"PHEV","Car",63798
"2020",19,"PHEV","Car",0
"2030",19,"PHEV","Car",1295
"2040",19,"PHEV","Car",26223
"2050",19,"PHEV","Car",54466
"2020",20,"PHEV","Car",0
"2030",20,"PHEV","Car",0
"2040",20,"PHEV","Car",18663
"2050",20,"PHEV","Car",46049
"2020",21,"PHEV","Car",0
"2030",21,"PHEV","Car",0
"2040",21,"PHEV","Car",11293
"2050",21,"PHEV","Car",37022
"2020",22,"PHEV","Car",0
"2030",22,"PHEV","Car",0
"2040",22,"PHEV","Car",8841
"2050",22,"PHEV","Car",29267
"2020",23,"PHEV","Car",0
"2030",23,"PHEV","Car",0
"2040",23,"PHEV","Car",11320
"2050",23,"PHEV","Car",23266
"2020",24,"PHEV","Car",0
"2030",24,"PHEV","Car",0
"2040",24,"PHEV","Car",8594
"2050",24,"PHEV","Car",18544
"2020",25,"PHEV","Car",0
"2030",25,"PHEV","Car",0
"2040",25,"PHEV","Car",9110
"2050",25,"PHEV","Car",14631
"2020",26,"PHEV","Car",0
"2030",26,"PHEV","Car",0
"2040",26,"PHEV","Car",6144
"2050",26,"PHEV","Car",10651
"2020",27,"PHEV","Car",0
"2030",27,"PHEV","Car",0
"2040",27,"PHEV","Car",2962
"2050",27,"PHEV","Car",7649
"2020",28,"PHEV","Car",0
"2030",28,"PHEV","Car",0
"2040",28,"PHEV","Car",1958
"2050",28,"PHEV","Car",5273
"2020",29,"PHEV","Car",0
"2030",29,"PHEV","Car",0
"2040",29,"PHEV","Car",217
"2050",29,"PHEV","Car",4386
"2020",30,"PHEV","Car",0
"2030",30,"PHEV","Car",0
"2040",30,"PHEV","Car",0
"2050",30,"PHEV","Car",2917
"2020",0,"BEV","Light truck",48828
"2030",0,"BEV","Light truck",130586
"2040",0,"BEV","Light truck",146138
"2050",0,"BEV","Light truck",181006
"2020",1,"BEV","Light truck",24517
"2030",1,"BEV","Light truck",114758
"2040",1,"BEV","Light truck",130705
"2050",1,"BEV","Light truck",163915
"2020",2,"BEV","Light truck",12148
"2030",2,"BEV","Light truck",101516
"2040",2,"BEV","Light truck",117875
"2050",2,"BEV","Light truck",148400
"2020",3,"BEV","Light truck",7691
"2030",3,"BEV","Light truck",90807
"2040",3,"BEV","Light truck",105588
"2050",3,"BEV","Light truck",133057
"2020",4,"BEV","Light truck",7221
"2030",4,"BEV","Light truck",84815
"2040",4,"BEV","Light truck",94492
"2050",4,"BEV","Light truck",118818
"2020",5,"BEV","Light truck",6452
"2030",5,"BEV","Light truck",77998
"2040",5,"BEV","Light truck",84690
"2050",5,"BEV","Light truck",106197
"2020",6,"BEV","Light truck",286
"2030",6,"BEV","Light truck",61821
"2040",6,"BEV","Light truck",76390
"2050",6,"BEV","Light truck",94536
"2020",7,"BEV","Light truck",123
"2030",7,"BEV","Light truck",47799
"2040",7,"BEV","Light truck",68701
"2050",7,"BEV","Light truck",84119
"2020",8,"BEV","Light truck",104
"2030",8,"BEV","Light truck",38864
"2040",8,"BEV","Light truck",62135
"2050",8,"BEV","Light truck",75193
"2020",9,"BEV","Light truck",73
"2030",9,"BEV","Light truck",29747
"2040",9,"BEV","Light truck",56041
"2050",9,"BEV","Light truck",67113
"2020",10,"BEV","Light truck",85
"2030",10,"BEV","Light truck",18968
"2040",10,"BEV","Light truck",50698
"2050",10,"BEV","Light truck",59839
"2020",11,"BEV","Light truck",30
"2030",11,"BEV","Light truck",9194
"2040",11,"BEV","Light truck",45738
"2050",11,"BEV","Light truck",53232
"2020",12,"BEV","Light truck",4
"2030",12,"BEV","Light truck",4474
"2040",12,"BEV","Light truck",40874
"2050",12,"BEV","Light truck",47422
"2020",13,"BEV","Light truck",5
"2030",13,"BEV","Light truck",2917
"2040",13,"BEV","Light truck",36841
"2050",13,"BEV","Light truck",42188
"2020",14,"BEV","Light truck",5
"2030",14,"BEV","Light truck",2560
"2040",14,"BEV","Light truck",34009
"2050",14,"BEV","Light truck",37182
"2020",15,"BEV","Light truck",4
"2030",15,"BEV","Light truck",2238
"2040",15,"BEV","Light truck",30367
"2050",15,"BEV","Light truck",32442
"2020",16,"BEV","Light truck",3
"2030",16,"BEV","Light truck",16
"2040",16,"BEV","Light truck",23044
"2050",16,"BEV","Light truck",28165
"2020",17,"BEV","Light truck",3
"2030",17,"BEV","Light truck",6
"2040",17,"BEV","Light truck",17034
"2050",17,"BEV","Light truck",24384
"2020",18,"BEV","Light truck",15
"2030",18,"BEV","Light truck",5
"2040",18,"BEV","Light truck",13068
"2050",18,"BEV","Light truck",20997
"2020",19,"BEV","Light truck",10
"2030",19,"BEV","Light truck",3
"2040",19,"BEV","Light truck",9331
"2050",19,"BEV","Light truck",17862
"2020",20,"BEV","Light truck",11
"2030",20,"BEV","Light truck",3
"2040",20,"BEV","Light truck",5505
"2050",20,"BEV","Light truck",15110
"2020",21,"BEV","Light truck",9
"2030",21,"BEV","Light truck",1
"2040",21,"BEV","Light truck",2464
"2050",21,"BEV","Light truck",12668
"2020",22,"BEV","Light truck",9
"2030",22,"BEV","Light truck",0
"2040",22,"BEV","Light truck",1115
"2050",22,"BEV","Light truck",10508
"2020",23,"BEV","Light truck",2
"2030",23,"BEV","Light truck",0
"2040",23,"BEV","Light truck",750
"2050",23,"BEV","Light truck",9678
"2020",24,"BEV","Light truck",1
"2030",24,"BEV","Light truck",0
"2040",24,"BEV","Light truck",680
"2050",24,"BEV","Light truck",9302
"2020",25,"BEV","Light truck",1
"2030",25,"BEV","Light truck",0
"2040",25,"BEV","Light truck",629
"2050",25,"BEV","Light truck",8738
"2020",26,"BEV","Light truck",0
"2030",26,"BEV","Light truck",0
"2040",26,"BEV","Light truck",0
"2050",26,"BEV","Light truck",7046
"2020",27,"BEV","Light truck",0
"2030",27,"BEV","Light truck",0
"2040",27,"BEV","Light truck",0
"2050",27,"BEV","Light truck",5528
"2020",28,"BEV","Light truck",0
"2030",28,"BEV","Light truck",0
"2040",28,"BEV","Light truck",0
"2050",28,"BEV","Light truck",4549
"2020",29,"BEV","Light truck",0
"2030",29,"BEV","Light truck",0
"2040",29,"BEV","Light truck",0
"2050",29,"BEV","Light truck",3521
"2020",30,"BEV","Light truck",0
"2030",30,"BEV","Light truck",0
"2040",30,"BEV","Light truck",0
"2050",30,"BEV","Light truck",2278
"2020",0,"CNG","Light truck",54529
"2030",0,"CNG","Light truck",52376
"2040",0,"CNG","Light truck",51905
"2050",0,"CNG","Light truck",55917
"2020",1,"CNG","Light truck",41308
"2030",1,"CNG","Light truck",39308
"2040",1,"CNG","Light truck",39666
"2050",1,"CNG","Light truck",43217
"2020",2,"CNG","Light truck",28600
"2030",2,"CNG","Light truck",29314
"2040",2,"CNG","Light truck",29836
"2050",2,"CNG","Light truck",32946
"2020",3,"CNG","Light truck",23483
"2030",3,"CNG","Light truck",21364
"2040",3,"CNG","Light truck",22059
"2050",3,"CNG","Light truck",24955
"2020",4,"CNG","Light truck",17400
"2030",4,"CNG","Light truck",15494
"2040",4,"CNG","Light truck",16327
"2050",4,"CNG","Light truck",18606
"2020",5,"CNG","Light truck",12768
"2030",5,"CNG","Light truck",10885
"2040",5,"CNG","Light truck",11920
"2050",5,"CNG","Light truck",13709
"2020",6,"CNG","Light truck",6697
"2030",6,"CNG","Light truck",7657
"2040",6,"CNG","Light truck",8642
"2050",6,"CNG","Light truck",10024
"2020",7,"CNG","Light truck",2144
"2030",7,"CNG","Light truck",5357
"2040",7,"CNG","Light truck",6214
"2050",7,"CNG","Light truck",7260
"2020",8,"CNG","Light truck",1704
"2030",8,"CNG","Light truck",3656
"2040",8,"CNG","Light truck",4458
"2050",8,"CNG","Light truck",5230
"2020",9,"CNG","Light truck",1473
"2030",9,"CNG","Light truck",2453
"2040",9,"CNG","Light truck",3173
"2050",9,"CNG","Light truck",3748
"2020",10,"CNG","Light truck",1158
"2030",10,"CNG","Light truck",1731
"2040",10,"CNG","Light truck",2225
"2050",10,"CNG","Light truck",2657
"2020",11,"CNG","Light truck",1778
"2030",11,"CNG","Light truck",1210
"2040",11,"CNG","Light truck",1541
"2050",11,"CNG","Light truck",1874
"2020",12,"CNG","Light truck",154
"2030",12,"CNG","Light truck",773
"2040",12,"CNG","Light truck",1061
"2050",12,"CNG","Light truck",1301
"2020",13,"CNG","Light truck",300
"2030",13,"CNG","Light truck",593
"2040",13,"CNG","Light truck",721
"2050",13,"CNG","Light truck",898
"2020",14,"CNG","Light truck",233
"2030",14,"CNG","Light truck",409
"2040",14,"CNG","Light truck",487
"2050",14,"CNG","Light truck",618
"2020",15,"CNG","Light truck",210
"2030",15,"CNG","Light truck",277
"2040",15,"CNG","Light truck",317
"2050",15,"CNG","Light truck",418
"2020",16,"CNG","Light truck",178
"2030",16,"CNG","Light truck",134
"2040",16,"CNG","Light truck",205
"2050",16,"CNG","Light truck",279
"2020",17,"CNG","Light truck",143
"2030",17,"CNG","Light truck",39
"2040",17,"CNG","Light truck",133
"2050",17,"CNG","Light truck",186
"2020",18,"CNG","Light truck",44
"2030",18,"CNG","Light truck",29
"2040",18,"CNG","Light truck",83
"2050",18,"CNG","Light truck",123
"2020",19,"CNG","Light truck",47
"2030",19,"CNG","Light truck",23
"2040",19,"CNG","Light truck",51
"2050",19,"CNG","Light truck",80
"2020",20,"CNG","Light truck",43
"2030",20,"CNG","Light truck",16
"2040",20,"CNG","Light truck",33
"2050",20,"CNG","Light truck",51
"2020",21,"CNG","Light truck",36
"2030",21,"CNG","Light truck",23
"2040",21,"CNG","Light truck",21
"2050",21,"CNG","Light truck",32
"2020",22,"CNG","Light truck",32
"2030",22,"CNG","Light truck",1
"2040",22,"CNG","Light truck",12
"2050",22,"CNG","Light truck",20
"2020",23,"CNG","Light truck",32
"2030",23,"CNG","Light truck",3
"2040",23,"CNG","Light truck",9
"2050",23,"CNG","Light truck",14
"2020",24,"CNG","Light truck",17
"2030",24,"CNG","Light truck",2
"2040",24,"CNG","Light truck",6
"2050",24,"CNG","Light truck",9
"2020",25,"CNG","Light truck",17
"2030",25,"CNG","Light truck",2
"2040",25,"CNG","Light truck",4
"2050",25,"CNG","Light truck",6
"2020",26,"CNG","Light truck",0
"2030",26,"CNG","Light truck",2
"2040",26,"CNG","Light truck",2
"2050",26,"CNG","Light truck",4
"2020",27,"CNG","Light truck",0
"2030",27,"CNG","Light truck",2
"2040",27,"CNG","Light truck",0
"2050",27,"CNG","Light truck",3
"2020",28,"CNG","Light truck",0
"2030",28,"CNG","Light truck",0
"2040",28,"CNG","Light truck",0
"2050",28,"CNG","Light truck",2
"2020",29,"CNG","Light truck",0
"2030",29,"CNG","Light truck",0
"2040",29,"CNG","Light truck",0
"2050",29,"CNG","Light truck",1
"2020",30,"CNG","Light truck",0
"2030",30,"CNG","Light truck",0
"2040",30,"CNG","Light truck",0
"2050",30,"CNG","Light truck",1
"2020",0,"FCV","Light truck",10876
"2030",0,"FCV","Light truck",28938
"2040",0,"FCV","Light truck",29710
"2050",0,"FCV","Light truck",32327
"2020",1,"FCV","Light truck",5801
"2030",1,"FCV","Light truck",28799
"2040",1,"FCV","Light truck",29623
"2050",1,"FCV","Light truck",31855
"2020",2,"FCV","Light truck",3105
"2030",2,"FCV","Light truck",28429
"2040",2,"FCV","Light truck",29633
"2050",2,"FCV","Light truck",31341
"2020",3,"FCV","Light truck",1685
"2030",3,"FCV","Light truck",27894
"2040",3,"FCV","Light truck",29137
"2050",3,"FCV","Light truck",30397
"2020",4,"FCV","Light truck",1624
"2030",4,"FCV","Light truck",27998
"2040",4,"FCV","Light truck",28322
"2050",4,"FCV","Light truck",29261
"2020",5,"FCV","Light truck",1101
"2030",5,"FCV","Light truck",27240
"2040",5,"FCV","Light truck",27270
"2050",5,"FCV","Light truck",28074
"2020",6,"FCV","Light truck",0
"2030",6,"FCV","Light truck",22563
"2040",6,"FCV","Light truck",26175
"2050",6,"FCV","Light truck",26699
"2020",7,"FCV","Light truck",0
"2030",7,"FCV","Light truck",18070
"2040",7,"FCV","Light truck",24821
"2050",7,"FCV","Light truck",25260
"2020",8,"FCV","Light truck",0
"2030",8,"FCV","Light truck",15078
"2040",8,"FCV","Light truck",23469
"2050",8,"FCV","Light truck",23881
"2020",9,"FCV","Light truck",0
"2030",9,"FCV","Light truck",11756
"2040",9,"FCV","Light truck",21967
"2050",9,"FCV","Light truck",22404
"2020",10,"FCV","Light truck",0
"2030",10,"FCV","Light truck",7600
"2040",10,"FCV","Light truck",20499
"2050",10,"FCV","Light truck",20894
"2020",11,"FCV","Light truck",0
"2030",11,"FCV","Light truck",3742
"2040",11,"FCV","Light truck",18961
"2050",11,"FCV","Light truck",19361
"2020",12,"FCV","Light truck",0
"2030",12,"FCV","Light truck",1849
"2040",12,"FCV","Light truck",17281
"2050",12,"FCV","Light truck",17881
"2020",13,"FCV","Light truck",0
"2030",13,"FCV","Light truck",936
"2040",13,"FCV","Light truck",15822
"2050",13,"FCV","Light truck",16407
"2020",14,"FCV","Light truck",0
"2030",14,"FCV","Light truck",840
"2040",14,"FCV","Light truck",14782
"2050",14,"FCV","Light truck",14844
"2020",15,"FCV","Light truck",0
"2030",15,"FCV","Light truck",527
"2040",15,"FCV","Light truck",13319
"2050",15,"FCV","Light truck",13236
"2020",16,"FCV","Light truck",0
"2030",16,"FCV","Light truck",0
"2040",16,"FCV","Light truck",10166
"2050",16,"FCV","Light truck",11707
"2020",17,"FCV","Light truck",0
"2030",17,"FCV","Light truck",0
"2040",17,"FCV","Light truck",7550
"2050",17,"FCV","Light truck",10294
"2020",18,"FCV","Light truck",0
"2030",18,"FCV","Light truck",0
"2040",18,"FCV","Light truck",5812
"2050",18,"FCV","Light truck",8980
"2020",19,"FCV","Light truck",0
"2030",19,"FCV","Light truck",0
"2040",19,"FCV","Light truck",4163
"2050",19,"FCV","Light truck",7723
"2020",20,"FCV","Light truck",0
"2030",20,"FCV","Light truck",0
"2040",20,"FCV","Light truck",2463
"2050",20,"FCV","Light truck",6594
"2020",21,"FCV","Light truck",0
"2030",21,"FCV","Light truck",0
"2040",21,"FCV","Light truck",1107
"2050",21,"FCV","Light truck",5570
"2020",22,"FCV","Light truck",0
"2030",22,"FCV","Light truck",0
"2040",22,"FCV","Light truck",501
"2050",22,"FCV","Light truck",4649
"2020",23,"FCV","Light truck",0
"2030",23,"FCV","Light truck",0
"2040",23,"FCV","Light truck",256
"2050",23,"FCV","Light truck",4304
"2020",24,"FCV","Light truck",0
"2030",24,"FCV","Light truck",0
"2040",24,"FCV","Light truck",237
"2050",24,"FCV","Light truck",4155
"2020",25,"FCV","Light truck",0
"2030",25,"FCV","Light truck",0
"2040",25,"FCV","Light truck",156
"2050",25,"FCV","Light truck",3916
"2020",26,"FCV","Light truck",0
"2030",26,"FCV","Light truck",0
"2040",26,"FCV","Light truck",0
"2050",26,"FCV","Light truck",3162
"2020",27,"FCV","Light truck",0
"2030",27,"FCV","Light truck",0
"2040",27,"FCV","Light truck",0
"2050",27,"FCV","Light truck",2484
"2020",28,"FCV","Light truck",0
"2030",28,"FCV","Light truck",0
"2040",28,"FCV","Light truck",0
"2050",28,"FCV","Light truck",2046
"2020",29,"FCV","Light truck",0
"2030",29,"FCV","Light truck",0
"2040",29,"FCV","Light truck",0
"2050",29,"FCV","Light truck",1587
"2020",30,"FCV","Light truck",0
"2030",30,"FCV","Light truck",0
"2040",30,"FCV","Light truck",0
"2050",30,"FCV","Light truck",1028
"2020",0,"FFV","Light truck",903946
"2030",0,"FFV","Light truck",1015866
"2040",0,"FFV","Light truck",1017014
"2050",0,"FFV","Light truck",891966
"2020",1,"FFV","Light truck",947080
"2030",1,"FFV","Light truck",1000919
"2040",1,"FFV","Light truck",1030550
"2050",1,"FFV","Light truck",887545
"2020",2,"FFV","Light truck",948240
"2030",2,"FFV","Light truck",994412
"2040",2,"FFV","Light truck",1034369
"2050",2,"FFV","Light truck",895157
"2020",3,"FFV","Light truck",896866
"2030",3,"FFV","Light truck",962681
"2040",3,"FFV","Light truck",1016430
"2050",3,"FFV","Light truck",941168
"2020",4,"FFV","Light truck",901976
"2030",4,"FFV","Light truck",906686
"2040",4,"FFV","Light truck",1001431
"2050",4,"FFV","Light truck",937085
"2020",5,"FFV","Light truck",1588692
"2030",5,"FFV","Light truck",852795
"2040",5,"FFV","Light truck",973506
"2050",5,"FFV","Light truck",907194
"2020",6,"FFV","Light truck",1364935
"2030",6,"FFV","Light truck",769021
"2040",6,"FFV","Light truck",926666
"2050",6,"FFV","Light truck",871321
"2020",7,"FFV","Light truck",1246954
"2030",7,"FFV","Light truck",735194
"2040",7,"FFV","Light truck",874400
"2050",7,"FFV","Light truck",865745
"2020",8,"FFV","Light truck",1116659
"2030",8,"FFV","Light truck",701012
"2040",8,"FFV","Light truck",825164
"2050",8,"FFV","Light truck",843926
"2020",9,"FFV","Light truck",1093178
"2030",9,"FFV","Light truck",669242
"2040",9,"FFV","Light truck",787167
"2050",9,"FFV","Light truck",819323
"2020",10,"FFV","Light truck",662428
"2030",10,"FFV","Light truck",658550
"2040",10,"FFV","Light truck",756725
"2050",10,"FFV","Light truck",785455
"2020",11,"FFV","Light truck",483750
"2030",11,"FFV","Light truck",644354
"2040",11,"FFV","Light truck",695994
"2050",11,"FFV","Light truck",747844
"2020",12,"FFV","Light truck",676145
"2030",12,"FFV","Light truck",597380
"2040",12,"FFV","Light truck",639933
"2050",12,"FFV","Light truck",695700
"2020",13,"FFV","Light truck",753885
"2030",13,"FFV","Light truck",527270
"2040",13,"FFV","Light truck",578127
"2050",13,"FFV","Light truck",637965
"2020",14,"FFV","Light truck",461157
"2030",14,"FFV","Light truck",493571
"2040",14,"FFV","Light truck",506812
"2050",14,"FFV","Light truck",585046
"2020",15,"FFV","Light truck",361410
"2030",15,"FFV","Light truck",805122
"2040",15,"FFV","Light truck",441470
"2050",15,"FFV","Light truck",526713
"2020",16,"FFV","Light truck",433825
"2030",16,"FFV","Light truck",637401
"2040",16,"FFV","Light truck",366838
"2050",16,"FFV","Light truck",461996
"2020",17,"FFV","Light truck",338725
"2030",17,"FFV","Light truck",539968
"2040",17,"FFV","Light truck",325203
"2050",17,"FFV","Light truck",404242
"2020",18,"FFV","Light truck",248413
"2030",18,"FFV","Light truck",446114
"2040",18,"FFV","Light truck",286079
"2050",18,"FFV","Light truck",351949
"2020",19,"FFV","Light truck",246774
"2030",19,"FFV","Light truck",401272
"2040",19,"FFV","Light truck",250938
"2050",19,"FFV","Light truck",308481
"2020",20,"FFV","Light truck",242865
"2030",20,"FFV","Light truck",222479
"2040",20,"FFV","Light truck",225930
"2050",20,"FFV","Light truck",271333
"2020",21,"FFV","Light truck",165769
"2030",21,"FFV","Light truck",148387
"2040",21,"FFV","Light truck",201900
"2050",21,"FFV","Light truck",227927
"2020",22,"FFV","Light truck",92132
"2030",22,"FFV","Light truck",189931
"2040",22,"FFV","Light truck",171412
"2050",22,"FFV","Light truck",191913
"2020",23,"FFV","Light truck",59311
"2030",23,"FFV","Light truck",214100
"2040",23,"FFV","Light truck",152961
"2050",23,"FFV","Light truck",175287
"2020",24,"FFV","Light truck",43616
"2030",24,"FFV","Light truck",135327
"2040",24,"FFV","Light truck",147952
"2050",24,"FFV","Light truck",158781
"2020",25,"FFV","Light truck",21210
"2030",25,"FFV","Light truck",110942
"2040",25,"FFV","Light truck",252461
"2050",25,"FFV","Light truck",144681
"2020",26,"FFV","Light truck",0
"2030",26,"FFV","Light truck",140889
"2040",26,"FFV","Light truck",211452
"2050",26,"FFV","Light truck",127190
"2020",27,"FFV","Light truck",0
"2030",27,"FFV","Light truck",116380
"2040",27,"FFV","Light truck",189511
"2050",27,"FFV","Light truck",119289
"2020",28,"FFV","Light truck",0
"2030",28,"FFV","Light truck",91335
"2040",28,"FFV","Light truck",167549
"2050",28,"FFV","Light truck",112295
"2020",29,"FFV","Light truck",0
"2030",29,"FFV","Light truck",98222
"2040",29,"FFV","Light truck",163150
"2050",29,"FFV","Light truck",106633
"2020",30,"FFV","Light truck",0
"2030",30,"FFV","Light truck",105879
"2040",30,"FFV","Light truck",99076
"2050",30,"FFV","Light truck",105155
"2020",0,"HEV","Light truck",53730
"2030",0,"HEV","Light truck",69553
"2040",0,"HEV","Light truck",76042
"2050",0,"HEV","Light truck",86162
"2020",1,"HEV","Light truck",53257
"2030",1,"HEV","Light truck",68219
"2040",1,"HEV","Light truck",75214
"2050",1,"HEV","Light truck",84580
"2020",2,"HEV","Light truck",48711
"2030",2,"HEV","Light truck",66659
"2040",2,"HEV","Light truck",74211
"2050",2,"HEV","Light truck",83208
"2020",3,"HEV","Light truck",54377
"2030",3,"HEV","Light truck",63468
"2040",3,"HEV","Light truck",72383
"2050",3,"HEV","Light truck",81398
"2020",4,"HEV","Light truck",55714
"2030",4,"HEV","Light truck",60418
"2040",4,"HEV","Light truck",70699
"2050",4,"HEV","Light truck",78761
"2020",5,"HEV","Light truck",20583
"2030",5,"HEV","Light truck",56012
"2040",5,"HEV","Light truck",68563
"2050",5,"HEV","Light truck",75752
"2020",6,"HEV","Light truck",23557
"2030",6,"HEV","Light truck",53477
"2040",6,"HEV","Light truck",66269
"2050",6,"HEV","Light truck",72440
"2020",7,"HEV","Light truck",20768
"2030",7,"HEV","Light truck",48897
"2040",7,"HEV","Light truck",63273
"2050",7,"HEV","Light truck",68399
"2020",8,"HEV","Light truck",18995
"2030",8,"HEV","Light truck",44426
"2040",8,"HEV","Light truck",59920
"2050",8,"HEV","Light truck",64427
"2020",9,"HEV","Light truck",23801
"2030",9,"HEV","Light truck",40880
"2040",9,"HEV","Light truck",56152
"2050",9,"HEV","Light truck",60475
"2020",10,"HEV","Light truck",31753
"2030",10,"HEV","Light truck",38800
"2040",10,"HEV","Light truck",51699
"2050",10,"HEV","Light truck",56208
"2020",11,"HEV","Light truck",37845
"2030",11,"HEV","Light truck",35897
"2040",11,"HEV","Light truck",47098
"2050",11,"HEV","Light truck",51883
"2020",12,"HEV","Light truck",42784
"2030",12,"HEV","Light truck",30357
"2040",12,"HEV","Light truck",42488
"2050",12,"HEV","Light truck",47378
"2020",13,"HEV","Light truck",45341
"2030",13,"HEV","Light truck",31625
"2040",13,"HEV","Light truck",37752
