"Scenario","Size","Technology","Subcomponent","feature_wgt","Case","Year","value"
"BAU","Car","PHEV40","Traction Motor","n","Low",2016,-0.306838429109042
"BAU","Light truck","PHEV40","Traction Motor","n","Low",2016,-0.722017082481713
"BAU","Car","BEV100","Transmission","n","Low",2016,-1.41998706369067
"BAU","Light truck","BEV100","Transmission","n","Low",2016,-2.93102571272789
"BAU","Car","BEV300","Transmission","n","Low",2016,-6.72542842403659
"BAU","Light truck","BEV300","Transmission","n","Low",2016,-10.7008978220913
"BAU","Car","PHEV20","Transmission","n","Low",2016,-0.445383614350703
"BAU","Light truck","PHEV20","Transmission","n","Low",2016,-0.660064737512201
"BAU","Car","PHEV40","Transmission","n","Low",2016,-0.955725866094369
"BAU","Light truck","PHEV40","Transmission","n","Low",2016,-1.9855950320751
"BAU","Car","BEV100","Wheels","n","Low",2016,-0.354996765922671
"BAU","Light truck","BEV100","Wheels","n","Low",2016,-0.732756428181972
"BAU","Car","BEV300","Wheels","n","Low",2016,-1.68135710600915
"BAU","Light truck","BEV300","Wheels","n","Low",2016,-2.67522445552282
"BAU","Car","PHEV20","Wheels","n","Low",2016,-0.111345903587676
"BAU","Light truck","PHEV20","Wheels","n","Low",2016,-0.165016184378047
"BAU","Car","PHEV40","Wheels","n","Low",2016,-0.238931466523589
"BAU","Light truck","PHEV40","Wheels","n","Low",2016,-0.496398758018778
"BAU","Car","BEV100","Body","n","Low",2017,-4.25252495375321
"BAU","Light truck","BEV100","Body","n","Low",2017,-8.73747510860744
"BAU","Car","BEV300","Body","n","Low",2017,-20.1125838516104
"BAU","Light truck","BEV300","Body","n","Low",2017,-32.9023203543554
"BAU","Car","PHEV20","Body","n","Low",2017,-1.26320424734928
"BAU","Light truck","PHEV20","Body","n","Low",2017,-2.15550426641323
"BAU","Car","PHEV40","Body","n","Low",2017,-2.91115072141304
"BAU","Light truck","PHEV40","Body","n","Low",2017,-6.0222881544488
"BAU","Car","BEV100","Chassis","n","Low",2017,-5.45096380435643
"BAU","Light truck","BEV100","Chassis","n","Low",2017,-11.1998544573971
