"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"LOP"
2016,2.534312,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2017,6.442102,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2018,1.11032,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2019,0.00047,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2021,0.003486,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2022,0.007219,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2038,0.229417,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
2039,0.201695,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"LOP"
