"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2038,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2039,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2040,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2041,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2042,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2043,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2044,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2045,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2046,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2047,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2048,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2049,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"REF"
2016,2.534312,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2017,6.442102,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2018,1.021855,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2031,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2032,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2033,0.156543,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2034,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2035,0.198368,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2036,0.193923,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2037,0.193849,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2038,0.193818,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2039,0.193835,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2040,0.193823,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2041,0.193841,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2042,0.19385,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2043,0.193947,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
2044,0.193996,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"REF"
