barrels08,barrelsA08,charge120,charge240,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,make,model,VClass,year,Sales,youSaveSpend,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,startStop,phevCity,phevHwy,phevComb
0.324,0,0,6,61,61.32,0,0,0,55,0,0,-1,0,0,63,62.9357,0,0,54,0,0,,,Front-Wheel Drive,1,,10,1050,0,Electricity,Electricity,10,-1,65,65.03,0,0,0,52,0,0,0,34859,0,0,N,FALSE,0,0,127,121.1,0,133.9,0,Automatic (A1),87.6,0,92.9,0,BYD,e6,Small Sport Utility Vehicle 2WD,2014,,1500,,,EV,,,75 kW AC PMSM,BYD,,0,,N,0,0,0
0.324,0,0,6,61,61.32,0,0,0,55,0,0,-1,0,0,63,62.9357,0,0,54,0,0,,,Front-Wheel Drive,1,,10,1050,0,Electricity,Electricity,10,-1,65,65.03,0,0,0,52,0,0,0,34860,0,0,N,FALSE,0,0,127,121.1,0,133.9,0,Automatic (A1),87.6,0,92.9,0,BYD,e6,Small Sport Utility Vehicle 2WD,2013,,1500,,,EV,,,75 kW AC PMSM,BYD,,0,,N,0,0,0
3.614241816,0.246,0,5,31,31,85,85,0,39,0.67,91,-1,0,91,33,33,82,82,41,0,0.65,4,1.4,Front-Wheel Drive,401,PHEV,10,1300,800,Premium Gas or Electricity,Premium Gasoline,10,-1,35,35,80,80,0,42,0.64,0,0,34770,11,0,Y,FALSE,83,0,0,0,38.46,0,35.05,Automatic (variable gear ratios),47.6,144.9,53.5,133.3,Cadillac,ELR,Subcompact Cars,2014,1310,2000,,,Plug-in Hybrid,Electricity,37,126 kW,GMX,,0,,Y,54,55,54
3.614241816,0.246,0,5,31,31,85,85,0,39,0.67,91,-1,0,91,33,33,82,82,41,0,0.65,4,1.4,Front-Wheel Drive,46,PHEV,10,1300,800,Premium Gas or Electricity,Premium Gasoline,10,-1,35,35,80,80,0,42,0.64,0,0,35317,11,0,N,FALSE,83,0,0,0,38.46,0,35.05,Automatic (variable gear ratios),47.6,144.9,53.5,133.3,Cadillac,ELR,Subcompact Cars,2015,1024,2000,,,Plug-in Hybrid,Electricity,37,126 kW 3-Phase AC,GMX,,0,,Y,54,55,54
3.375621482,0.216,0,4,35,0,95,0,0,36,0.64,84,-1,0,84,37,0,93,0,36,0,0.64,4,1.4,Front-Wheel Drive,0,PHEV,-1,1150,700,Premium Gas or Electricity,Premium Gasoline,-1,-1,40,0,90,0,0,37,0.63,18,90,30980,0,0,Y,FALSE,0,0,0,0,36,0,35,Automatic (variable gear ratios),45.4121,135.1,52.7496,132.7,Chevrolet,Volt,Compact Cars,2011,7671,2500,,,Plug-in Hybrid,Electricity,35,111 kW,,,0,,Y,58,62,60
3.375621482,0.216,0,4,35,34.8879,95,94.51,0,36,0.64,87,-1,0,87,37,36.8746,94,93.8,36,0,0.64,4,1.4,Front-Wheel Drive,32,PHEV,-1,1150,700,Premium Gas or Electricity,Premium Gasoline,-1,-1,40,39.6331,93,92.9,0,37,0.63,18,90,31618,0,0,Y,FALSE,0,0,0,0,36,0,35,Automatic (variable gear ratios),47.5,135,53.6,132.7,Chevrolet,Volt,Compact Cars,2012,23461,2500,,,Plug-in Hybrid,Electricity,35,111 kW,GMX,,0,,Y,58,62,60
3.092538804,0.21,0,4,35,34.9,101,101.43,0,33,0.68,81,-1,0,81,37,36.9,98,97.77,35,0,0.66,4,1.4,Front-Wheel Drive,147,PHEV,10,1150,700,Premium Gas or Electricity,Premium Gasoline,10,-1,40,39.7,93,93.3,0,36,0.65,18,90,32655,0,0,Y,FALSE,0,0,0,0,39.9196,0,36.302,Automatic (variable gear ratios),47.6,144.9,53.5,133.3,Chevrolet,Volt,Compact Cars,2013,23094,2500,,,Plug-in Hybrid,Electricity,38,111 kW,GMX,,0,,Y,63,61,62
0.168,0,0,7,128,128.2,0,0,0,26,0,0,-1,0,0,119,118.9,0,0,28,0,0,,,Front-Wheel Drive,110,,10,550,0,Electricity,Electricity,10,-1,109,109.2,0,0,0,31,0,0,0,33640,0,11,Y,FALSE,0,86,82,87.8,0,74.8,0,Automatic (A1),183.2,0,156,0,Chevrolet,Spark EV,Subcompact Cars,2014,1145,4000,,,EV,,,104 kW AC Induction,GMX,,0,,N,0,0,0
3.092538804,0.21,0,4,35,34.9,101,101.43,0,33,0.68,81,-1,0,81,37,36.9,98,97.77,35,0,0.66,4,1.4,Front-Wheel Drive,402,PHEV,10,1150,700,Premium Gas or Electricity,Premium Gasoline,10,-1,40,39.7,93,93.3,0,36,0.65,18,90,33900,0,0,Y,FALSE,0,0,0,0,39.9196,0,36.302,Automatic (variable gear ratios),47.6,144.9,53.5,133.3,Chevrolet,Volt,Compact Cars,2014,18805,2500,,,Plug-in Hybrid,Electricity,38,111 kW,GMX,,0,,Y,63,61,62
0.168,0,0,7,128,128.2,0,0,0,26.2638,0,0,-1,0,0,119,118.9,0,0,28.3449,0,0,,,Front-Wheel Drive,55,,10,550,0,Electricity,Electricity,10,-1,109,109.2,0,0,0,30.8654,0,0,0,35120,0,11,N,FALSE,0,86,82,87.8,0,74.8,0,Automatic (A1),183.2,0,156,0,Chevrolet,Spark EV,Subcompact Cars,2015,2629,4000,,,EV,,,104 kW ACPM,GMX,,0,,N,0,0,0
3.092538804,0.21,0,4,35,34.9,101,101.43,0,33,0.68,81,-1,0,81,37,36.9,98,97.77,35,0,0.66,4,1.4,Front-Wheel Drive,47,PHEV,10,1150,700,Premium Gas or Electricity,Premium Gasoline,10,-1,40,39.7,93,93.3,0,36,0.65,18,90,35246,0,0,Y,FALSE,0,0,0,0,39.9196,0,36.302,Automatic (variable gear ratios),47.6,144.9,53.5,133.3,Chevrolet,Volt,Compact Cars,2015,15393,2500,,,Plug-in Hybrid,Electricity,38,111 kW 3-Phase AC,GMX,,0,,Y,63,61,62
0.276,0,0,6,77,77.2,0,0,0,44,0,0,-1,0,0,73,72.7,0,0,46,0,0,,,Front-Wheel Drive,1,,-1,900,0,Electricity,Electricity,-1,-1,68,67.9,0,0,0,50,0,0,0,32277,0,14,N,FALSE,0,72,88,93.555,0,93.555,0,Automatic (A1),110.3,0,97,0,CODA Automotive,CODA,Subcompact Cars,2012,,2250,,,EV,,,100 kW DCPM,CDA,,0,,N,0,0,0
0.276,0,0,6,77,77.2,0,0,0,44,0,0,-1,0,0,73,72.7,0,0,46,0,0,,,Front-Wheel Drive,1,,10,900,0,Electricity,Electricity,10,-1,68,67.9,0,0,0,50,0,0,0,33337,0,14,N,FALSE,0,72,88,93.555,0,81.298,0,Automatic (A1),110.3,0,97,0,CODA Automotive,CODA,Subcompact Cars,2013,,2250,,,EV,,,100 kW DCPM,CDA,,0,,N,0,0,0
